ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HM780855,04/04/2004 09:00:00 AM,055XX W DRUMMOND PL,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,2514,,30,,06,,,,,
,HN265974,04/04/2004 08:05:00 PM,027XX S DEARBORN ST,2027,NARCOTICS,POSS: CRACK,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,2113,,3,,18,,,,,
,HR130298,04/04/2004 12:01:00 AM,011XX W VAN BUREN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,false,false,1232,,2,,06,,,,,
,HR417802,04/04/2004 09:00:00 AM,076XX S LOOMIS BLVD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,0612,,17,,06,,,,,
,HS255971,04/04/2004 12:00:00 PM,083XX S MANISTEE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0423,,7,,06,,,,,
,HK281145,04/04/2004 02:15:00 AM,011XX N LECLAIRE AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,1531,,37,,18,1142157,1907012,,41.900900864,-87.753293142
,HK281223,04/04/2004 01:30:00 AM,009XX W DIVISION ST,0460,BATTERY,SIMPLE,TAVERN/LIQUOR STORE,false,false,1822,,32,,08B,1169894,1908199,,41.903598253,-87.651378536
,HK281233,04/04/2004 05:00:00 AM,040XX N SHERIDAN RD,0460,BATTERY,SIMPLE,STREET,false,false,2322,,46,,08B,1168880,1926906,,41.954953245,-87.654559181
,HK281129,04/04/2004 01:40:00 AM,012XX W NORTH SHORE AVE,0460,BATTERY,SIMPLE,RESIDENCE,true,false,2432,,49,,08B,1166676,1944589,,42.00352354,-87.662152073
,HK281315,04/04/2004 07:30:00 AM,071XX S CYRIL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0333,,5,,26,1190602,1857828,,41.764900898,-87.576943938
,HK281288,04/04/2004 05:45:00 AM,007XX W SHERIDAN RD,0460,BATTERY,SIMPLE,APARTMENT,true,false,2323,,46,,08B,1170564,1926142,,41.952820036,-87.648390992
,HK281403,04/04/2004 05:00:00 AM,079XX S MARYLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0624,,8,,14,1183279,1852554,,41.75060208,-87.603948371
,HK281231,04/04/2004 04:58:00 AM,052XX N LECLAIRE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1623,,45,,07,1141427,1934333,,41.975885881,-87.755297862
,HK281071,04/04/2004 01:08:17 AM,088XX S PARNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,2223,,21,,14,1174184,1846251,,41.733512576,-87.637463319
,HK281249,04/04/2004 04:50:00 AM,016XX W 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0614,,18,,08B,1166634,1850994,,41.746692239,-87.664987808
,HK281110,04/04/2004 01:42:20 AM,083XX S BUFFALO AVE,0890,THEFT,FROM BUILDING,APARTMENT,true,false,0424,,10,,06,1199593,1850204,,41.74375846,-87.544246407
,HK281479,04/04/2004 12:00:00 AM,027XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,,35,,06,1151915,1917924,,41.930657734,-87.717163038
,HK281457,04/04/2004 09:47:00 AM,035XX W LYNDALE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1413,,26,,08B,1152219,1914724,,41.921870664,-87.716130542
,HK281778,04/04/2004 01:45:00 PM,050XX W DIVISION ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,true,false,2533,,37,,18,1142669,1907524,,41.902296336,-87.751399748
,HK281836,04/04/2004 09:00:00 AM,078XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0611,,17,,06,1167034,1852829,,41.751719202,-87.663469758
,HK281254,04/04/2004 05:12:44 AM,067XX S JEFFERY BLVD,0320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,0332,,5,,03,1190703,1860780,,41.772998982,-87.576478539
,HK281463,04/04/2004 12:30:00 AM,078XX S OGLESBY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0414,,7,,14,1193228,1853414,,41.752724766,-87.567463113
,HK281525,04/04/2004 10:30:00 AM,013XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1423,,26,,08A,1157489,1908643,,41.905078196,-87.69693283
