ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,G091366,02/14/2001 03:31:00 AM,052XX W QUINCY ST,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,1522,,29,,01A,1141581,1898502,,41.877559057,-87.75561931
,G092939,02/14/2001 08:11:00 PM,010XX N DRAKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1121,,27,,01A,1152517,1906783,,41.900073947,-87.71524586
,G091284,02/14/2001 12:00:00 AM,105XX S MAPLEWOOD AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2211,,,,26,1161286,1834561,,41.701709705,-87.68503778
,G091303,02/14/2001 01:25:00 AM,077XX S GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0621,,,,14,1172019,1853495,,41.753438836,-87.645182551
,G091313,02/14/2001 12:41:00 AM,056XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1513,,,,06,,,,,
,G091318,02/14/2001 01:20:00 AM,122XX S GREEN ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,RESIDENCE,false,false,0524,,,,26,1172836,1823646,,41.67151084,-87.64306546
,G091365,02/14/2001 03:15:00 AM,0000X S MICHIGAN AV,0810,THEFT,OVER $500,STREET,true,false,0123,,,,06,1177281,1900106,,41.881226312,-87.624490281
,G091301,02/14/2001 12:45:00 AM,035XX S COTTAGE GROVE AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2122,,,,26,1181390,1881564,,41.830251864,-87.609976054
,G091401,02/14/2001 12:30:00 AM,022XX N SAWYER AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1413,,,,07,1154172,1915027,,41.922663324,-87.708946538
,G091316,02/14/2001 12:55:42 AM,091XX S CLYDE AV,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,0413,,,,08A,1191809,1844723,,41.728910422,-87.572944487
,G091403,02/14/2001 03:00:00 AM,080XX S CLYDE AV,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,0414,,,,07,1191639,1851753,,41.748205507,-87.573339808
,G091436,02/14/2001 06:05:00 AM,080XX S ASHLAND AV,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA PLATFORM,false,false,0612,,,,14,1167111,1851429,,41.747875761,-87.663227545
,G091392,02/14/2001 04:40:00 AM,010XX W FULTON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,PARKING LOT/GARAGE(NON.RESID.),true,false,1212,,,,11,,,,,
,G091449,02/14/2001 03:00:00 AM,014XX W 71 ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,0734,,,,07,1167706,1857696,,41.765060523,-87.66086777
,G091455,02/14/2001 02:00:00 AM,022XX S SAWYER AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1024,,,,07,1155002,1888911,,41.850981839,-87.706597681
,G091243,02/14/2001 12:06:54 AM,0000X S WESTERN AV,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,1211,,,,26,1160453,1899933,,41.881116366,-87.686286398
,G091279,02/14/2001 12:31:14 AM,010XX W 14 ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,false,1232,,,,15,1169602,1893606,,41.863560403,-87.652876139
,G091459,02/14/2001 03:00:00 AM,004XX E 48 ST,0810,THEFT,OVER $500,STREET,false,false,0223,,,,06,1180185,1873256,,41.807481815,-87.614652124
,G091481,02/14/2001 01:00:00 AM,037XX N WAYNE AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1923,,,,05,1166670,1925046,,41.949897071,-87.662736992
,G091360,02/14/2001 02:40:00 AM,048XX S LANGLEY AV,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,STREET,true,true,0223,,,,26,1181703,1873204,,41.807304155,-87.609086199
,G091494,02/14/2001 12:00:00 AM,057XX S PRAIRIE AV,0810,THEFT,OVER $500,STREET,false,false,0234,,,,06,1179059,1867045,,41.79046403,-87.618971248
,G091492,02/14/2001 01:30:00 AM,110XX S CENTRAL PARK AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2211,,,,14,1154371,1830957,,41.691959694,-87.710454075
,G091451,02/14/2001 06:30:00 AM,044XX S ST LOUIS AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0821,,,,14,1153769,1875175,,41.813313119,-87.711488023
,G091344,02/14/2001 02:25:00 AM,098XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2213,,,,05,1166149,1839149,,41.714198088,-87.667100923
,G091538,02/14/2001 08:10:00 AM,054XX N CLARK ST,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,true,false,2012,,,,26,1165022,1936174,,41.980467971,-87.668477419
,G091275,02/14/2001 12:31:19 AM,027XX W AUGUSTA BL,0460,BATTERY,SIMPLE,APARTMENT,false,true,1311,,,,08B,1157769,1906494,,41.899175452,-87.69596295
,G091296,02/14/2001 01:07:01 AM,051XX S KARLOV AV,0820,THEFT,$500 AND UNDER,OTHER,false,false,0815,,,,06,,,,,
,G091390,02/14/2001 04:17:23 AM,030XX W FULTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1331,,,,14,1156078,1901811,,41.886359171,-87.702300471
,G091404,02/14/2001 05:23:13 AM,007XX N SACRAMENTO AV,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,true,false,1313,,,,14,1156138,1904522,,41.893797199,-87.702006888
,G091571,02/14/2001 08:30:00 AM,007XX W GRAND AV,0560,ASSAULT,SIMPLE,STREET,false,false,1323,,,,08A,1170978,1903724,,41.891294867,-87.647528182
