ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP171518,09/07/2001 12:01:00 AM,047XX N KENMORE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,true,2312,,46,,11,1168354,1931538,,41.967675031,-87.656358308
,HV266205,09/07/2001 12:01:00 AM,065XX W BYRON ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1632,,38,,06,,,,,
,G535286,09/07/2001 03:38:00 PM,008XX W 128 PLACE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0523,,,,01A,1172870,1819609,,41.660431882,-87.643059363
,G536676,09/07/2001 04:20:00 PM,053XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0932,,16,,01A,1166580,1869331,,41.797012513,-87.664663275
,G537366,09/07/2001 09:29:00 PM,049XX S PAULINA STREET,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0931,,,,01A,1165847,1871870,,41.803995444,-87.667279128
,G537490,09/07/2001 11:30:00 PM,027XX W CATALPA  AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2011,,,,01A,1157163,1936420,,41.981306758,-87.697373323
,G535277,09/07/2001 12:00:00 AM,120XX S MICHIGAN AV,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0532,,,,26,1178977,1824801,,41.67454315,-87.620554677
,G535312,09/07/2001 12:54:00 AM,079XX S LUELLA AV,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0414,,,,26,1192536,1852727,,41.750856457,-87.570021298
,G535319,09/07/2001 12:00:00 AM,026XX S HAMLIN AV,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1031,,,,06,1151417,1886421,,41.844220017,-87.719820776
,G535379,09/07/2001 02:20:00 AM,100XX S MAY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2232,,,,26,1170459,1838449,,41.712184581,-87.651336271
,G535388,09/07/2001 01:00:00 AM,077XX S EBERHART AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0624,,,,26,1180962,1853497,,41.753243362,-87.612409914
,G535432,09/07/2001 03:20:00 AM,047XX S CALIFORNIA AV,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,0911,,,,14,1158551,1872774,,41.806628171,-87.694012803
,G535415,09/07/2001 02:00:00 AM,018XX N LOCKWOOD AV,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2532,,,,26,1140812,1911663,,41.913688588,-87.758118933
,G535434,09/07/2001 02:39:00 AM,078XX S ESSEX AV,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,true,false,0421,,,,03,1194181,1853412,,41.752695946,-87.563970892
,G535475,09/07/2001 05:30:00 AM,013XX S INDEPENDENCE BL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1011,,,,26,1151505,1893597,,41.8639101,-87.719309511
