ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HR482939,08/14/2009 09:00:00 AM,057XX W WAVELAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1633,,38,,06,,,,,
,HR484251,08/14/2009 10:30:00 PM,006XX E 84TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0632,,6,,08B,,,,,
,HR484193,08/14/2009 10:04:00 PM,075XX S COLFAX AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0421,,7,,18,,,,,
,HR484057,08/14/2009 08:10:00 PM,005XX E 79TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0624,,6,,04A,,,,,
,HR484132,08/14/2009 09:30:00 PM,065XX S EVANS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0321,,20,,08B,,,,,
,HR484206,08/14/2009 10:05:00 PM,077XX S HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0611,,18,,08B,,,,,
,HR484234,08/14/2009 09:00:00 PM,079XX S ESSEX AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0422,,7,,07,,,,,
,HR484213,08/14/2009 10:15:00 PM,054XX S WINCHESTER AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,false,true,0915,,16,,04B,,,,,
,HR484274,08/14/2009 11:05:00 PM,084XX S MUSKEGON AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,0423,,10,,24,,,,,
,HR485276,08/14/2009 06:30:00 PM,074XX S PARNELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0732,,17,,14,,,,,
,HR498126,08/14/2009 01:00:00 PM,042XX W CORTEZ ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1111,,37,,06,,,,,
,HR483308,08/14/2009 11:01:00 AM,031XX W 64TH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,0823,,15,,18,,,,,
,HR484184,08/14/2009 08:34:00 PM,028XX S ST LOUIS AVE,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,true,false,1032,,22,,18,,,,,
,HR482586,08/14/2009 01:55:38 AM,087XX S BEVERLY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2221,,21,,08B,,,,,
,HS315437,08/14/2009 09:00:00 AM,079XX S EMERALD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0621,,17,,06,,,,,
,HR483405,08/14/2009 02:46:00 PM,037XX N FREMONT ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,2324,,44,,07,,,,,
,HR486031,08/14/2009 11:04:00 PM,008XX N TRUMBULL AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,false,false,1121,,27,,04B,,,,,
,HS477590,08/14/2009 12:00:00 AM,025XX S SPRINGFIELD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1013,,22,,06,,,,,
,HT243885,08/14/2009 01:00:00 PM,078XX S KENWOOD AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,false,true,0411,,8,,20,,,,,
,HT623059,08/14/2009 05:57:00 PM,031XX W CERMAK RD,0842,THEFT,AGG: FINANCIAL ID THEFT,BANK,true,false,1033,,24,,06,,,,,
,HV402832,08/14/2009 12:01:00 AM,064XX N RIDGE BLVD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,2412,,50,,06,,,,,
,HR484275,08/14/2009 11:19:45 PM,004XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),true,false,1532,,28,,18,,,,,
,HW490382,08/14/2009 12:00:00 AM,023XX W 23RD PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1034,,25,,06,,,,,
,JB306729,08/14/2009 01:00:00 PM,127XX S MORGAN ST,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,OTHER,false,false,0523,,34,,11,,,,,
