ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HR215474,03/14/2009 01:30:00 PM,065XX S VERNON AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0312,,20,,06,,,,,
,HR215467,03/14/2009 01:45:00 PM,073XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,RESIDENCE-GARAGE,false,false,0334,,7,,08A,,,,,
,HR214680,03/14/2009 01:07:00 AM,123XX S YALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0523,,34,,14,,,,,
,HR215379,03/14/2009 01:25:00 PM,009XX N MICHIGAN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,false,false,1833,,42,,26,,,,,
,HR215514,03/14/2009 12:00:00 AM,027XX N KIMBALL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,,35,,06,,,,,
,HR215402,03/14/2009 01:05:00 PM,047XX N WESTERN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,false,false,1911,,47,,14,,,,,
,HR216689,03/14/2009 02:00:00 AM,064XX S PEORIA ST,0810,THEFT,OVER $500,VACANT LOT/LAND,false,false,0723,,16,,06,,,,,
,HR216193,03/14/2009 10:15:00 PM,066XX S WESTERN AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CTA BUS,true,false,0832,,15,,04A,,,,,
,HR216047,03/14/2009 07:17:00 PM,004XX E WACKER RAMP,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,OTHER,false,false,0124,,42,,11,,,,,
,HR221851,03/14/2009 05:40:00 AM,005XX W 66TH ST,0810,THEFT,OVER $500,STREET,false,false,0722,,20,,06,,,,,
,HR215292,03/14/2009 12:31:00 PM,002XX S WHIPPLE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1124,,28,,18,,,,,
,HR215306,03/14/2009 01:00:00 PM,046XX W MADISON ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,,28,,16,,,,,
,HR215005,03/14/2009 08:45:00 AM,003XX W 108TH PL,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,false,false,0513,,34,,07,,,,,
,HW176438,03/14/2009 03:00:00 PM,118XX S MARSHFIELD AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,ATM (AUTOMATIC TELLER MACHINE),false,false,2234,,34,,06,,,,,
,HR215119,03/14/2009 01:00:00 AM,062XX N LAWNDALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1711,,50,,06,1150579,1941244,,41.994675678,-87.72146063
,HR215716,03/14/2009 04:50:00 PM,029XX W WALNUT ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,1331,,2,,08A,1156697,1901491,,41.885468547,-87.700036019
,HR214696,03/14/2009 01:04:00 AM,087XX S LAFAYETTE AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,true,false,0634,,21,,08A,1177462,1847094,,41.735752519,-87.625429032
,HR214829,03/14/2009 03:30:00 AM,094XX S CALUMET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0633,,6,,08B,1180243,1842469,,41.722997732,-87.615381897
,HR214614,03/14/2009 12:45:00 AM,056XX S WOLCOTT AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0715,,15,,04B,1164649,1867315,,41.79152136,-87.671801382
,HR214799,03/14/2009 03:00:00 AM,009XX W 34TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,true,0924,,11,,14,1170553,1882389,,41.832759261,-87.649712892
,HR214845,03/14/2009 03:30:00 AM,093XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0633,,9,,14,1180887,1843066,,41.724621211,-87.61300471
,HR214811,03/14/2009 03:50:00 AM,056XX W ADAMS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1513,,29,,08B,1138390,1898539,,41.877718933,-87.767335098
,HR214813,03/14/2009 03:10:00 AM,098XX S ELLIS AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,false,false,0511,,8,,03,1184621,1839979,,41.716063567,-87.599423637
,HR214675,03/14/2009 01:07:00 AM,123XX S YALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0523,,34,,14,1176841,1823120,,41.669978442,-87.628423049
,HR214667,03/14/2009 01:15:00 AM,009XX N CLEVELAND AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,true,false,1823,,27,,08A,1172821,1906700,,41.899420561,-87.640671545
,HR214901,03/14/2009 06:43:00 AM,005XX S WESTERN AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,true,false,1135,,2,,08A,1160478,1897598,,41.874708395,-87.686259241
,HR214906,03/14/2009 06:30:00 AM,049XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1623,,45,,06,1139231,1932487,,41.970860678,-87.763418662
,HR214900,03/14/2009 06:30:00 AM,015XX E 68TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,true,0332,,5,,06,1187860,1860211,,41.771505782,-87.586918194
,HR214627,03/14/2009 12:15:00 AM,004XX W 108TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2233,,34,,14,1175103,1833287,,41.697917107,-87.634482076
