ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HR316772,05/12/2009 02:02:00 PM,067XX S CAMPBELL AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,true,false,0832,,15,,18,,,,,
,HR318822,05/12/2009 11:33:00 PM,110XX S PARNELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2233,,34,,14,,,,,
,HR320362,05/12/2009 03:30:00 PM,055XX W NORTH AVE,0460,BATTERY,SIMPLE,GROCERY FOOD STORE,true,false,2532,,37,,08B,,,,,
,HR316856,05/12/2009 02:00:00 PM,079XX S ESSEX AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,0422,,7,,18,,,,,
,HR317187,05/12/2009 03:44:00 PM,068XX S ROCKWELL ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,true,false,0832,,15,,18,,,,,
,HR318141,05/12/2009 06:00:00 AM,026XX W 46TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,true,false,0912,,12,,18,,,,,
,HR316730,05/12/2009 06:00:00 AM,052XX S RICHMOND ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,true,false,0911,,14,,18,,,,,
,HR316543,05/12/2009 10:38:00 AM,074XX S COLFAX AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,true,false,0334,,7,,18,,,,,
,HR316595,05/12/2009 06:00:00 AM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,,24,,18,,,,,
,HR317097,05/12/2009 04:25:00 PM,040XX W MONROE ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,1115,,28,,18,,,,,
,HR317193,05/12/2009 12:32:00 PM,0000X E 83RD ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),GAS STATION,true,false,0631,,6,,18,,,,,
,HR316713,05/12/2009 01:35:00 PM,077XX S HAMILTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0611,,18,,05,,,,,
,HR316474,05/12/2009 07:41:00 AM,007XX N PULASKI RD,0810,THEFT,OVER $500,OTHER,false,false,1111,,28,,06,,,,,
,HR317018,05/12/2009 03:20:00 PM,040XX E 106TH ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,0432,,10,,06,,,,,
,HR317224,05/12/2009 04:25:00 PM,084XX S RACINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0613,,21,,08B,,,,,
,HT203687,05/12/2009 09:00:00 AM,051XX W NORTH AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2533,,37,,06,,,,,
,HY114875,05/12/2009 09:00:00 AM,014XX S CLARK ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,0131,,2,,11,,,,,
,HR316014,05/12/2009 01:45:00 AM,003XX W ERIE ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1831,,42,,08B,1174096,1904722,,41.893964478,-87.636047576
,HR315965,05/12/2009 12:30:00 AM,069XX S DANTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0332,,5,,14,1187157,1859308,,41.769044585,-87.589523743
,HR316023,05/12/2009 02:12:00 AM,062XX S JUSTINE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0713,,16,,08B,1167069,1863447,,41.780855651,-87.663038277
