ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP686096,11/16/2008 10:45:00 AM,008XX N HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1121,,27,,01A,1153551,1905602,,41.896812665,-87.711479372
,HP686218,11/16/2008 12:17:00 PM,011XX W POLK ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1213,,25,,01A,1169099,1896611,,41.871817285,-87.654635394
,HP686779,11/16/2008 07:41:00 PM,071XX S RIDGELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0324,,5,,01A,1189109,1857825,,41.764928563,-87.582416215
,HP687373,11/16/2008 06:00:00 PM,026XX S WABASH AVE,0820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,false,false,2113,,2,,06,,,,,
,HP686345,11/16/2008 12:00:00 PM,063XX W MONTROSE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,1624,,38,,26,,,,,
,HP686414,11/16/2008 02:45:00 PM,008XX W 119TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0524,,34,,06,,,,,
,HP687535,11/16/2008 09:00:00 PM,038XX W ARGYLE ST,0810,THEFT,OVER $500,STREET,false,false,1712,,39,,06,,,,,
,HP687415,11/16/2008 03:00:00 PM,032XX W LEXINGTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1134,,24,,14,,,,,
,HP686225,11/16/2008 12:05:15 PM,051XX W DIVISION ST,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,false,false,1531,,37,,06,,,,,
,HP687403,11/16/2008 09:00:00 PM,011XX W 71ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0733,,17,,07,,,,,
,HP687499,11/16/2008 09:00:00 PM,006XX W GRACE ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,2323,,46,,06,,,,,
,HP688124,11/16/2008 11:00:00 AM,105XX S MAY ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2232,,34,,06,,,,,
,HP687670,11/16/2008 07:00:00 PM,044XX N KOSTNER AVE,0880,THEFT,PURSE-SNATCHING,PARKING LOT/GARAGE(NON.RESID.),false,false,1722,,45,,06,,,,,
,HP686268,11/16/2008 02:30:00 AM,070XX S JEFFERY BLVD,0460,BATTERY,SIMPLE,STREET,false,false,0331,,5,,08B,,,,,
,HP693244,11/16/2008 11:10:00 PM,082XX S CHAPPEL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0414,,8,,26,,,,,
,HP706207,11/16/2008 12:00:00 PM,073XX S HOYNE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0735,,17,,11,,,,,
,HP686321,11/16/2008 12:10:00 PM,051XX N SHERIDAN RD,2017,NARCOTICS,MANU/DELIVER:CRACK,RESTAURANT,true,false,2024,,48,,18,,,,,
,HR175872,11/16/2008 12:00:00 PM,046XX S PULASKI RD,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,OTHER,false,false,0815,,14,,17,,,,,
,HP685792,11/16/2008 02:08:00 AM,007XX W GRAND AVE,0810,THEFT,OVER $500,OTHER,false,false,1323,,27,,06,,,,,
,HS250845,11/16/2008 03:00:00 PM,077XX S WINCHESTER AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0611,,18,,02,,,,,
,HP686148,11/16/2008 09:00:00 AM,005XX E 67TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0321,,20,,26,1181165,1860714,,41.773042888,-87.61144405
,HP685694,11/16/2008 12:15:00 AM,091XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0423,,10,,08B,1197358,1844827,,41.729059494,-87.55261416
,HP685724,11/16/2008 12:59:00 AM,021XX N MILWAUKEE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,true,false,1431,,1,,08A,1158370,1914295,,41.920569748,-87.693541763
,HP685734,11/16/2008 01:12:00 AM,013XX W 14TH ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,1231,,2,,08A,1167754,1893523,,41.863372637,-87.659662383
,HP685801,11/16/2008 02:15:00 AM,019XX W BERTEAU AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1923,,47,,06,1162858,1927910,,41.95783702,-87.676668765
,HP685725,11/16/2008 12:35:00 AM,017XX W 21ST ST,0320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,false,false,1223,,25,,03,1165193,1890124,,41.854100232,-87.669160108
,HP685874,11/16/2008 03:35:00 AM,050XX S ASHLAND AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0931,,16,,18,1166524,1871398,,41.802685798,-87.664809681
,HP685990,11/16/2008 04:00:00 AM,038XX W 65TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0833,,13,,14,1151991,1861229,,41.775078344,-87.718375816
,HP685975,11/16/2008 07:00:00 AM,011XX W ALTGELD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1933,,43,,14,1168284,1916764,,41.927136074,-87.657044314
,HP685842,11/16/2008 03:18:31 AM,012XX W LOYOLA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2432,,40,,08B,1166821,1943806,,42.001371853,-87.661641223
,HP686026,11/16/2008 03:15:00 AM,010XX W OAKDALE AVE,0880,THEFT,PURSE-SNATCHING,STREET,false,false,1932,,44,,06,1168937,1919760,,41.935343085,-87.654557672
,HP685813,11/16/2008 02:34:00 AM,011XX E 47TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,2124,,4,,08B,1184695,1874076,,41.809627276,-87.598085206
,HP685983,11/16/2008 07:01:00 AM,048XX N CENTRAL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,true,false,1622,,45,,18,1138129,1931547,,41.968301279,-87.767493705
,HP686042,11/16/2008 12:00:00 AM,106XX S WESTERN AVE,0890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,false,false,2211,,19,,06,1162276,1834062,,41.700319855,-87.681426514
,HP685757,11/16/2008 01:24:00 AM,080XX S ASHLAND AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0612,,21,,24,1167073,1851373,,41.747722901,-87.663368387
,HP685814,11/16/2008 02:52:00 AM,035XX N PINE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2331,,46,,08B,1171624,1923779,,41.946312571,-87.644564214
,HP686075,11/16/2008 06:40:00 AM,037XX N AVERS AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1732,,30,,06,1150041,1924381,,41.948413019,-87.723880931
,HP686102,11/16/2008 01:00:00 AM,053XX S NEW ENGLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0811,,23,,14,1131291,1868360,,41.79502829,-87.794096948
,HP686185,11/16/2008 03:00:00 AM,006XX N DEARBORN ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1832,,42,,06,1175825,1904582,,41.893541578,-87.629701805
,HP685898,11/16/2008 03:35:00 AM,003XX N CLARK ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1831,,42,,04B,1175479,1902565,,41.8880146,-87.631033159
,HP685875,11/16/2008 03:25:00 AM,057XX N RAVENSWOOD AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,false,false,2012,,40,,26,1163321,1938109,,41.985813738,-87.674678351
,HP685979,11/16/2008 12:05:00 AM,052XX W ADAMS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1522,,29,,07,1141519,1898831,,41.87846302,-87.755838832
