ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP348288,05/21/2008 06:00:00 AM,060XX S PAULINA ST,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,0714,,15,,06,,,,,
,HP349874,05/21/2008 09:00:00 PM,019XX W 21ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1223,,25,,07,,,,,
,HP347520,05/21/2008 01:03:00 AM,031XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,true,false,1411,,35,,14,,,,,
,HP347637,05/21/2008 05:30:00 AM,059XX S HONORE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0714,,15,,26,,,,,
,HP347978,05/21/2008 09:00:00 AM,034XX W DIVERSEY AVE,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1412,,35,,06,,,,,
,HP348144,05/21/2008 12:00:00 AM,007XX E 78TH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0624,,6,,06,,,,,
,HP349319,05/21/2008 09:19:00 PM,025XX W CORTLAND ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,1434,,1,,15,,,,,
,HP349337,05/21/2008 09:20:00 PM,040XX W POTOMAC AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,true,false,2534,,27,,18,,,,,
,HP348800,05/21/2008 01:15:00 PM,013XX N CAMPBELL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,1423,,26,,05,,,,,
,HP348534,05/21/2008 03:20:00 PM,058XX W NORTH AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,2531,,29,,18,,,,,
,HP348101,05/21/2008 03:00:00 AM,0000X W DIVISION ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,TAVERN/LIQUOR STORE,false,false,1824,,42,,11,,,,,
,HP349321,05/21/2008 02:55:00 PM,034XX W EVERGREEN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,true,true,1422,,26,,02,,,,,
,HP349839,05/21/2008 09:20:00 PM,041XX N ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1723,,33,,14,,,,,
,HP350349,05/21/2008 08:00:00 PM,063XX S STEWART AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0722,,20,,26,,,,,
,HP349247,05/21/2008 04:00:00 PM,039XX W WRIGHTWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2524,,30,,14,,,,,
,HP347556,05/21/2008 01:35:00 AM,014XX S PULASKI RD,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,1011,,24,,02,,,,,
,HP348140,05/21/2008 11:00:00 AM,038XX W GRENSHAW ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,true,false,1133,,24,,18,,,,,
,HP348367,05/21/2008 01:09:00 PM,047XX W OHIO ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,true,false,1111,,28,,18,,,,,
,HP348374,05/21/2008 01:33:00 PM,048XX W OHIO ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,true,false,1532,,28,,18,,,,,
,HP348467,05/21/2008 02:29:00 PM,082XX S COTTAGE GROVE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),OTHER,true,false,0631,,8,,18,,,,,
,HP349936,05/21/2008 12:00:00 PM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,,24,,18,,,,,
,HP348161,05/21/2008 11:09:33 AM,024XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,OTHER,true,false,1135,,28,,18,,,,,
,HP410897,05/21/2008 09:00:00 AM,008XX E 100TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0511,,8,,06,,,,,
,HP350058,05/21/2008 05:00:00 PM,031XX N LAKE SHORE DR,2820,OTHER OFFENSE,TELEPHONE THREAT,DAY CARE CENTER,false,false,2332,,44,,26,,,,,
,HP466236,05/21/2008 07:30:00 AM,094XX S LAFAYETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0634,,21,,14,,,,,
,HR526170,05/21/2008 12:01:00 AM,052XX S WOLCOTT AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,0932,,16,,06,,,,,
,HT358171,05/21/2008 09:00:00 AM,032XX W MAYPOLE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,1123,,28,,06,,,,,
,HW316542,05/21/2008 12:01:00 AM,073XX N WINCHESTER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,2424,,49,,06,,,,,
,HP347551,05/21/2008 12:30:00 AM,035XX W 60TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0823,,16,,26,1153764,1864270,,41.783388337,-87.711795588
,HP347654,05/21/2008 06:00:00 AM,063XX S LA CROSSE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0813,,13,,26,1145137,1862092,,41.77757831,-87.743480346
,HP347586,05/21/2008 02:45:00 AM,043XX S WELLS ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0935,,3,,08A,1175334,1876245,,41.815793845,-87.632354663
,HP347666,05/21/2008 12:00:00 AM,088XX S MORGAN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2222,,21,,05,1171192,1846209,,41.733463182,-87.648425712
,HP347814,05/21/2008 12:00:00 AM,053XX W SCHUBERT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,2514,,31,,14,1140329,1917438,,41.929544688,-87.759751497
,HP347584,05/21/2008 02:30:00 AM,008XX N ORLEANS ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN,false,false,1823,,27,,11,1173756,1906378,,41.898516209,-87.637246929
