ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP391244,06/12/2008 01:00:00 PM,063XX N KEELER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1711,,39,,26,,,,,
,HP391305,06/12/2008 09:00:00 AM,005XX W 43RD PL,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0935,,11,,06,,,,,
,HP390319,06/12/2008 08:15:00 AM,013XX N WESTERN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1424,,1,,26,,,,,
,HP391139,06/12/2008 03:56:00 PM,030XX N SPAULDING AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,1412,,35,,18,,,,,
,HP391015,06/12/2008 02:55:00 PM,040XX W CONGRESS PKWY,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1132,,24,,18,,,,,
,HP390527,06/12/2008 02:27:00 PM,033XX W FILLMORE ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,1134,,24,,18,,,,,
,HP390521,06/12/2008 10:57:00 AM,080XX S LOOMIS BLVD,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,true,false,0612,,21,,18,,,,,
,HP390750,06/12/2008 11:45:00 AM,056XX S ELIZABETH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VACANT LOT/LAND,true,false,0713,,16,,18,,,,,
,HR457035,06/12/2008 03:00:00 PM,088XX S DAUPHIN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,true,0632,,8,,02,,,,,
,HR507768,06/12/2008 07:00:00 AM,034XX W POTOMAC AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,1422,,26,,18,,,,,
,HS269754,06/12/2008 01:00:00 AM,077XX S OGLESBY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0414,,7,,06,,,,,
,HS441656,06/12/2008 09:00:00 AM,076XX W IRVING PARK RD,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,1631,,36,,06,,,,,
,HX189235,06/12/2008 12:01:00 AM,008XX E 87TH PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,0632,,8,,11,,,,,
,HP390076,06/12/2008 12:15:00 AM,050XX S WOODLAWN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2124,,4,,08A,1185085,1871865,,41.803550964,-87.596724272
,HP390111,06/12/2008 12:25:00 AM,015XX W CULLERTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1222,,25,,14,1166504,1890502,,41.855109571,-87.66433743
,HP390133,06/12/2008 02:00:00 AM,048XX N PULASKI RD,0810,THEFT,OVER $500,STREET,false,false,1712,,39,,06,1148852,1931933,,41.969159388,-87.728055414
,HP390179,06/12/2008 02:00:00 AM,055XX W CHICAGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CLEANING STORE,false,false,1524,,37,,14,1139149,1904790,,41.894858704,-87.764396029
,HP390071,06/12/2008 01:20:00 AM,004XX W DIVERSEY PKWY,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN,false,false,2333,,44,,11,1172837,1918898,,41.932892097,-87.640250708
,HP390106,06/12/2008 03:02:27 AM,001XX N CENTRAL AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,false,false,1512,,29,,11,1139026,1900470,,41.883006315,-87.764952877
,HP390016,06/12/2008 01:10:00 AM,007XX N ADA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1324,,27,,08B,1167201,1904894,,41.89458743,-87.661365575
,HP390246,06/12/2008 05:00:00 AM,001XX N BEAUBIEN CT,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0124,,42,,14,1177430,1901441,,41.884886245,-87.623902644
,HP390137,06/12/2008 04:13:12 AM,035XX S PRAIRIE AVE,0460,BATTERY,SIMPLE,RESTAURANT,false,false,0211,,3,,08B,1178509,1881664,,41.830592354,-87.620543343
,HP390002,06/12/2008 12:58:37 AM,051XX S PRAIRIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,0232,,3,,14,1178914,1870931,,41.80113088,-87.619384581
,HP390248,06/12/2008 12:01:00 AM,016XX S TROY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1022,,24,,07,1155634,1891391,,41.857774557,-87.704211406
,HP390087,06/12/2008 02:45:31 AM,053XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0232,,3,,08B,1178062,1869689,,41.797742093,-87.622546804
,HP390101,06/12/2008 03:05:00 AM,021XX W CULLERTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1223,,25,,08B,1162425,1890387,,41.854880232,-87.679312392
,HP390220,06/12/2008 06:46:33 AM,025XX N NEW ENGLAND AVE,1020,ARSON,BY FIRE,STREET,false,false,2512,,36,,09,1129997,1916066,,41.925963141,-87.797750868
,HP389987,06/12/2008 12:55:38 AM,054XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1523,,28,,04A,1140228,1900221,,41.882301097,-87.760545114
,HP390142,06/12/2008 03:31:00 AM,012XX W 51ST ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0933,,16,,03,1169104,1870967,,41.801447632,-87.655360155
,HP390194,06/12/2008 05:45:00 AM,050XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0931,,16,,08B,1165200,1871223,,41.802233734,-87.669670337
,HP390812,06/12/2008 01:00:00 PM,053XX S LOOMIS BLVD,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0933,,16,,06,1167902,1869441,,41.797286045,-87.659812184
,HP390439,06/12/2008 09:00:00 AM,040XX S CALUMET AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0214,,3,,08A,1179097,1878335,,41.821443911,-87.618487599
,HP390401,06/12/2008 12:01:00 AM,076XX S EVANS AVE,0810,THEFT,OVER $500,STREET,false,false,0624,,6,,06,1182547,1854543,,41.756077103,-87.606569167
,HP390618,06/12/2008 11:20:00 AM,034XX N JANSSEN AVE,0810,THEFT,OVER $500,STREET,false,false,1924,,44,,06,1166030,1922927,,41.944096153,-87.665150271
,HP389986,06/12/2008 12:47:38 AM,040XX W CONGRESS PKWY,0460,BATTERY,SIMPLE,GAS STATION,false,false,1132,,24,,08B,1149640,1897389,,41.87435219,-87.726057418
,HP390767,06/12/2008 03:00:00 AM,021XX N WINCHESTER AVE,0810,THEFT,OVER $500,STREET,false,false,1432,,32,,06,1163013,1914173,,41.920138651,-87.676485892
,HP390796,06/12/2008 11:30:00 AM,003XX E 103RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0512,,9,,14,1180256,1836744,,41.707287296,-87.615509109
,HP390988,06/12/2008 11:00:00 AM,017XX N ORCHARD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,1813,,43,,14,1171350,1911705,,41.913187022,-87.64592715
,HP390868,06/12/2008 12:00:00 PM,020XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,false,false,1431,,1,,06,1159401,1913467,,41.918276486,-87.689776487
,HP390058,06/12/2008 01:00:00 AM,078XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0421,,7,,08B,1197407,1853828,,41.75375771,-87.552135344
,HP390935,06/12/2008 12:00:00 AM,003XX E 115TH ST,0850,THEFT,ATTEMPT THEFT,RESIDENTIAL YARD (FRONT/BACK),false,false,0531,,9,,06,1180775,1828779,,41.685418357,-87.61385219
