ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HL751594,11/23/2005 10:45:37 AM,022XX N LINCOLN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,1812,,43,,14,,,,,
,HM444573,11/23/2005 12:00:00 PM,038XX W DEVON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1711,,39,,11,,,,,
,HL751696,11/23/2005 11:54:35 AM,096XX S MICHIGAN AVE,0620,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",false,false,0511,,6,,05,,,,,
,HM737035,11/23/2005 08:30:00 PM,063XX S ALBANY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0823,,15,,06,,,,,
,HL752354,11/23/2005 05:05:00 PM,039XX W ARMITAGE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,2535,,30,,16,,,,,
,HW502645,11/23/2005 09:00:00 AM,074XX S ST LAWRENCE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0323,,6,,06,,,,,
,HL751039,11/23/2005 01:10:00 AM,026XX W EVERGREEN AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1423,,26,,03,1158657,1908880,,41.905704685,-87.69263589
,HL751118,11/23/2005 03:59:44 AM,089XX S BUFFALO AVE,0560,ASSAULT,SIMPLE,SIDEWALK,true,false,0424,,10,,08A,1199597,1846319,,41.733097636,-87.544362251
,HL751156,11/23/2005 12:00:00 AM,131XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0533,,9,,14,1183246,1818256,,41.656484744,-87.605132044
,HL751043,11/23/2005 01:16:50 AM,007XX W 50TH ST,0890,THEFT,FROM BUILDING,APARTMENT,false,true,0935,,3,,06,1172178,1871713,,41.803427645,-87.64406475
,HL751251,11/23/2005 12:30:00 AM,069XX S THROOP ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0734,,17,,07,1168854,1858850,,41.768202542,-87.656626733
,HL751059,11/23/2005 01:30:00 AM,001XX E 117TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0532,,9,,08A,1179267,1827365,,41.681572561,-87.619415482
,HL751081,11/23/2005 01:55:00 AM,053XX S HARPER AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2132,,4,,03,1187182,1870289,,41.799176734,-87.589083706
,HL751169,11/23/2005 05:45:00 AM,012XX E 46TH ST,0850,THEFT,ATTEMPT THEFT,STREET,false,false,2123,,4,,06,1185340,1874511,,41.81080578,-87.595705789
,HL751178,11/23/2005 06:00:00 AM,003XX E 38TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0211,,3,,26,1179336,1879867,,41.825642379,-87.617564012
,HL751035,11/23/2005 12:50:00 AM,039XX W LELAND AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1723,,39,,08A,1149147,1930940,,41.966428803,-87.726996533
,HL751578,11/23/2005 10:50:00 AM,023XX N SOUTHPORT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1811,,32,,08B,1166597,1915594,,41.923961873,-87.663276894
,HL751399,11/23/2005 09:20:00 AM,012XX N MILWAUKEE AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,false,false,1433,,1,,11,1165668,1908175,,41.903623535,-87.666902214
,HL752129,11/23/2005 03:00:00 PM,071XX W ARCHER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0811,,23,,14,1129481,1867227,,41.791950089,-87.800760135
,HL752176,11/23/2005 08:00:00 AM,009XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1833,,42,,06,1177324,1906733,,41.899410159,-87.624131266
,HL752334,11/23/2005 12:00:00 PM,043XX N KEYSTONE AVE,0560,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,1722,,39,,08A,1148512,1928536,,41.959844358,-87.729393644
