ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HM456031,06/26/2005 12:00:00 AM,081XX S MARSHFIELD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0614,,18,,11,,,,,
,HL445666,06/26/2005 06:21:45 PM,055XX S CARPENTER ST,0460,BATTERY,SIMPLE,STREET,false,false,0712,,16,,08B,,,,,
,HL445601,06/26/2005 04:50:00 PM,028XX W HARRISON ST,2012,NARCOTICS,MANU/DELIVER:COCAINE,SIDEWALK,false,false,1135,,2,,18,,,,,
,HL444547,06/26/2005 12:13:00 AM,076XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0421,,7,,14,1194190,1854748,,41.756361814,-87.563894125
,HL444626,06/26/2005 02:00:00 AM,075XX N CLAREMONT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2411,,49,,07,1159348,1949963,,42.018424421,-87.68896273
,HL444567,06/26/2005 03:35:00 AM,003XX N LAFLIN ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1333,,27,,03,1166415,1902100,,41.886937346,-87.664332321
,HL444368,06/26/2005 12:30:00 AM,078XX S PAXTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0414,,7,,05,1192226,1853516,,41.753029081,-87.571131654
,HL444636,06/26/2005 01:00:00 AM,002XX N JUSTINE ST,0810,THEFT,OVER $500,STREET,false,false,1333,,27,,06,1166113,1901695,,41.88583245,-87.665452918
,HL444604,06/26/2005 02:55:23 AM,010XX N CALIFORNIA AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,STREET,true,false,1311,,26,,26,1157537,1906760,,41.899910106,-87.696807833
,HL444390,06/26/2005 01:19:56 AM,031XX E 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,false,0422,,7,,08B,1198683,1852531,,41.750166764,-87.547502773
,HL444763,06/26/2005 12:00:00 AM,074XX S SOUTH SHORE DR,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0334,,7,,06,1195764,1856629,,41.761484638,-87.55806373
,HL444487,06/26/2005 01:30:00 AM,041XX W WELLINGTON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,2523,,31,,04B,1148120,1919622,,41.935391188,-87.731065109
,HL444486,06/26/2005 02:18:00 AM,043XX S PAULINA ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0914,,12,,04B,1165735,1875943,,41.815174602,-87.667574171
,HL444360,06/26/2005 12:35:00 AM,043XX S WASHTENAW AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,0912,,12,,04B,1159090,1875782,,41.814871485,-87.691953581
,HL444641,06/26/2005 04:05:00 AM,013XX W TAYLOR ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1213,,2,,03,1167801,1895711,,41.869375677,-87.659426798
,HL444622,06/26/2005 04:25:00 AM,007XX E 61ST ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0313,,20,,08B,1182427,1864734,,41.784044982,-87.606693401
,HL444676,06/26/2005 05:42:00 AM,019XX N DAYTON ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,1813,,43,,03,1170321,1912922,,41.916549103,-87.6496718
,HL444809,06/26/2005 06:55:00 AM,074XX S SOUTH SHORE DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER,false,false,0334,,7,,26,1195764,1856629,,41.761484638,-87.55806373
,HL444438,06/26/2005 01:47:00 AM,050XX N LECLAIRE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1623,,45,,14,1141472,1932851,,41.97181832,-87.755169159
,HL444570,06/26/2005 03:30:00 AM,071XX S STEWART AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,true,false,0732,,6,,09,1174858,1857660,,41.764805309,-87.634654733
,HL444703,06/26/2005 01:30:00 AM,014XX N KINGSBURY ST,0810,THEFT,OVER $500,STREET,false,false,1822,,32,,06,1169940,1909568,,41.907353866,-87.651169579
,HL444599,06/26/2005 03:58:00 AM,016XX W WEBSTER AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,true,1432,,32,,03,1164995,1914701,,41.921545627,-87.669188669
,HL444888,06/26/2005 07:00:00 AM,052XX S JUSTINE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0932,,16,,26,1166893,1869984,,41.798797735,-87.663496806
,HL444909,06/26/2005 03:30:00 AM,048XX S VINCENNES AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0223,,3,,07,1180404,1872853,,41.806370921,-87.613861276
,HL444303,06/26/2005 12:05:00 AM,054XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1522,,29,,08B,1140115,1899490,,41.880297209,-87.760977958
,HL444282,06/26/2005 12:10:00 AM,067XX S COTTAGE GROVE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,false,false,0321,,20,,10,1182717,1860597,,41.77268594,-87.605758495
,HL445008,06/26/2005 12:00:00 AM,064XX S ELLIS AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,0314,,20,,07,1184164,1862461,,41.777767211,-87.600396013
,HL445030,06/26/2005 07:00:00 AM,026XX N SACRAMENTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1411,,35,,26,1155923,1917476,,41.929348403,-87.70244657
,HL445058,06/26/2005 04:00:00 AM,081XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,STREET,false,false,0631,,6,,06,1180313,1851219,,41.747007173,-87.614857942
,HL444816,06/26/2005 08:50:00 AM,010XX W PERSHING RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0922,,11,,06,1170122,1878970,,41.823386598,-87.651393874
,HL444700,06/26/2005 06:04:00 AM,015XX W 47TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0921,,3,,04B,1167044,1873569,,41.808632154,-87.662840497
,HL444925,06/26/2005 10:00:00 AM,075XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0621,,17,,14,1172275,1854791,,41.756989602,-87.644206364
,HL444426,06/26/2005 12:30:00 AM,056XX W MADISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1513,,29,,14,1138759,1899456,,41.880228616,-87.765957945
