ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HJ171468,02/08/2003 12:05:00 AM,046XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1922,,47,,06,1165500,1930871,,41.965906159,-87.666871233
,HJ171671,02/08/2003 03:30:00 AM,074XX S SOUTH SHORE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,0334,,7,,14,1195788,1856597,,41.761396234,-87.557976827
,HJ171608,02/08/2003 03:18:38 AM,019XX W OHIO ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1324,,1,,14,1163287,1904026,,41.892288788,-87.675764964
,HJ171645,02/08/2003 04:06:11 AM,101XX S PERRY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,true,true,0511,,9,,04A,1177388,1837745,,41.710099303,-87.625981573
,HJ171628,02/08/2003 03:52:12 AM,050XX S MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0224,,3,,05,1178012,1871602,,41.802992677,-87.62267216
,HJ171497,02/08/2003 12:23:05 AM,084XX S PHILLIPS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,true,false,0423,,7,,05,1193971,1849439,,41.741798858,-87.564870468
,HJ171779,02/08/2003 12:00:00 AM,021XX W FARWELL AVE,0810,THEFT,OVER $500,STREET,false,false,2411,,50,,06,1160588,1945576,,42.006360672,-87.684522097
,HJ171812,02/08/2003 12:00:00 AM,048XX W GEORGE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2521,,31,,05,1143652,1918845,,41.933343983,-87.747504934
,HJ171613,02/08/2003 03:24:26 AM,088XX S DANTE AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0412,,8,,07,1187332,1846583,,41.734121816,-87.589285653
,HJ171541,02/08/2003 01:00:00 AM,084XX S DREXEL AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0632,,8,,08A,1183693,1849251,,41.741528656,-87.602534093
,HJ171469,02/08/2003 12:10:00 AM,063XX N WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,true,false,2413,,50,,14,1159167,1942038,,41.996681711,-87.689847977
,HJ171856,02/08/2003 10:00:00 AM,002XX N MAYFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1512,,29,,07,1137120,1901052,,41.884637827,-87.771937931
,HJ171883,02/08/2003 12:00:00 AM,001XX W POLK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0131,,2,,14,1175455,1896796,,41.87218466,-87.631294594
,HJ171569,02/08/2003 02:17:49 AM,014XX S KOSTNER AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,false,1011,,24,,04B,1147282,1892810,,41.861832311,-87.734832234
,HJ171618,02/08/2003 03:27:35 AM,016XX S LAWNDALE AVE,0460,BATTERY,SIMPLE,STREET,false,false,1014,,24,,08B,1151968,1891625,,41.858489603,-87.71766176
,HJ171896,02/08/2003 01:00:00 AM,054XX W WASHINGTON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1522,,28,,07,1139805,1900211,,41.882281393,-87.76209864
,HJ171472,02/08/2003 12:04:12 AM,014XX S KEDZIE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1022,,24,,08B,1155268,1892637,,41.86120107,-87.70552141
,HJ172027,02/08/2003 10:20:00 AM,024XX W OHIO ST,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,1313,,26,,06,1160216,1903936,,41.892105849,-87.687045945
,HJ172081,02/08/2003 03:00:00 AM,039XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1733,,33,,14,1154356,1925930,,41.952578291,-87.707978225
,HJ172118,02/08/2003 01:00:00 PM,021XX W MAYPOLE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,1332,,2,,26,1162181,1900973,,41.883934289,-87.679912212
,HJ172218,02/08/2003 01:15:00 PM,028XX N MILWAUKEE AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,1412,,35,,08A,1153217,1918448,,41.932069855,-87.712364501
,HJ172331,02/08/2003 12:30:00 PM,014XX W FULLERTON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,false,true,1811,,32,,26,1166350,1916045,,41.925204736,-87.664171534
,HJ172446,02/08/2003 04:00:00 PM,016XX W ROOSEVELT RD,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1224,,2,,06,1165567,1894777,,41.866860535,-87.66765497
,HJ172454,02/08/2003 03:00:00 PM,043XX W ALTGELD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2524,,31,,26,1146859,1916264,,41.926200743,-87.735785402
,HJ172508,02/08/2003 04:30:00 PM,002XX S WABASH AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,0123,,42,,08B,1176847,1899294,,41.879007964,-87.626108456
,HJ172551,02/08/2003 10:00:00 AM,105XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0512,,9,,08A,1178849,1835107,,41.702827213,-87.620711125
,HJ172213,02/08/2003 01:59:00 PM,019XX N WESTERN AVE,041A,BATTERY,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),true,false,1434,,1,,04B,1160053,1913029,,41.917061131,-87.687393113
,HJ172635,02/08/2003 08:00:00 AM,067XX S PARNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0722,,6,,08B,1173731,1860274,,41.772003478,-87.638708111
,HJ172553,02/08/2003 02:00:00 PM,009XX W 63RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CLEANING STORE,false,false,0723,,16,,14,1171191,1863058,,41.779699023,-87.647937606
,HJ172724,02/08/2003 05:00:00 PM,024XX N PARKSIDE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2515,,30,,06,1138306,1915617,,41.924584561,-87.767229739
,HJ172794,02/08/2003 07:40:00 PM,092XX S PEORIA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2223,,21,,26,1171938,1843543,,41.726130982,-87.645770766
,HJ172909,02/08/2003 09:10:00 PM,024XX N CENTRAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2515,,30,,26,1138635,1915687,,41.924770682,-87.766019131
,HJ172936,02/08/2003 08:50:00 PM,108XX S AVENUE E,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0432,,10,,26,1203843,1833594,,41.698071439,-87.529242924
,HJ172770,02/08/2003 05:00:00 AM,066XX S KENWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0321,,5,,26,1186210,1861206,,41.774275286,-87.592935051
,HJ172932,02/08/2003 04:30:00 PM,090XX S MORGAN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2222,,21,,14,1171235,1844831,,41.729680817,-87.64830836
,HJ172979,02/08/2003 03:00:00 PM,057XX S UNIVERSITY AVE,0820,THEFT,$500 AND UNDER,ALLEY,false,false,2133,,5,,06,1184763,1867123,,41.790546107,-87.598053945
,HJ173004,02/08/2003 02:00:00 PM,008XX W 19TH ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,1233,,25,,07,1171212,1891131,,41.85673364,-87.647038602
,HJ173028,02/08/2003 09:30:00 PM,0000X W 74TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0731,,6,,07,1177041,1855936,,41.760025522,-87.626705381
,HJ173129,02/08/2003 07:00:00 PM,075XX S ESSEX AVE,0810,THEFT,OVER $500,STREET,false,false,0421,,7,,06,1194175,1855389,,41.758121135,-87.563928087
,HJ173164,02/08/2003 10:00:00 PM,017XX W CORNELIA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1923,,32,,06,1163836,1923276,,41.945100475,-87.67320453
,HJ172106,02/08/2003 12:55:00 PM,007XX N ELIZABETH ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1324,,27,,04B,1167721,1905149,,41.895275976,-87.659448418
,HJ172112,02/08/2003 12:20:00 PM,026XX W HADDON AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1311,,26,,08B,1158630,1907541,,41.902030912,-87.692771799
,HJ172987,02/08/2003 09:30:00 PM,018XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1931,,32,,06,1163736,1915978,,41.925076458,-87.673778459
,HJ173021,02/08/2003 10:47:14 PM,017XX S DAMEN AVE,0460,BATTERY,SIMPLE,STREET,false,false,1223,,25,,08B,1163317,1891562,,41.858085855,-87.676005348
,HJ172995,02/08/2003 10:18:00 PM,017XX W CHICAGO AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,VEHICLE NON-COMMERCIAL,false,false,1322,,1,,26,1164836,1905401,,41.896029174,-87.670037113
,HJ172973,02/08/2003 11:00:00 PM,040XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1912,,47,,06,1162300,1926602,,41.954259517,-87.67875689
,HJ172908,02/08/2003 08:30:00 PM,023XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1211,,2,,08A,1160855,1898111,,41.876108306,-87.684860827
,HJ173041,02/08/2003 10:15:00 PM,011XX W 18TH ST,0460,BATTERY,SIMPLE,STREET,false,false,1233,,25,,08B,1168862,1891562,,41.85796756,-87.655651842
,HJ172247,02/08/2003 02:00:00 PM,016XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,1233,,25,,14,1171296,1892192,,41.859643265,-87.646699134
,HJ172792,02/08/2003 07:40:51 PM,063XX N NAGLE AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,1611,,41,,06,1132627,1941621,,41.996043193,-87.787488548
,HJ173412,02/08/2003 10:00:00 PM,011XX N NOBLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1323,,27,,14,1166839,1907759,,41.902456959,-87.662612828
,HJ173406,02/08/2003 11:00:00 PM,039XX W 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0822,,13,,14,1151090,1867178,,41.791420958,-87.721523629
,HJ172339,02/08/2003 03:00:00 PM,028XX W DEVON AVE,0810,THEFT,OVER $500,OTHER,false,false,2412,,50,,06,1156349,1942334,,41.997551589,-87.700206179
,HJ171858,02/08/2003 05:00:00 AM,099XX S AVENUE J,0880,THEFT,PURSE-SNATCHING,STREET,false,false,0432,,10,,06,1202467,1839754,,41.715010122,-87.534071653
,HJ172876,02/08/2003 08:41:20 PM,035XX S RHODES AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),false,false,0212,,4,,03,1180162,1881716,,41.830697249,-87.614476891
,HJ171789,02/08/2003 12:01:00 AM,051XX N LA CROSSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1621,,45,,14,1143078,1933758,,41.974277306,-87.749240851
,HJ173425,02/08/2003 10:00:00 PM,044XX N ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1723,,33,,07,1152257,1929247,,41.961722137,-87.715606378
,HJ171790,02/08/2003 08:45:27 AM,070XX S DR MARTIN LUTHER KING JR DR,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,0322,,6,,04B,1180132,1858577,,41.767202472,-87.615296134
,HJ172313,02/08/2003 01:40:00 PM,029XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,2122,,4,,08B,1180279,1885856,,41.842055012,-87.613920397
,HJ173473,02/08/2003 10:00:00 PM,037XX W HAYFORD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0833,,18,,14,1152864,1854198,,41.755766975,-87.715360656
,HJ172535,02/08/2003 04:45:00 PM,050XX W BERTEAU AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1624,,45,,08B,1142062,1927455,,41.957000294,-87.753133975
,HJ172905,02/08/2003 09:03:21 PM,061XX N LINCOLN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1711,,50,,14,1153122,1940763,,41.993305548,-87.712119086
,HJ172759,02/08/2003 07:15:00 PM,052XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,2131,,4,,14,1185111,1870747,,41.800482475,-87.59666406
,HJ172675,02/08/2003 06:35:00 PM,048XX W HARRISON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1533,,24,,03,1144316,1896902,,41.873117502,-87.745617216
,HJ171729,02/08/2003 09:30:00 PM,039XX N ORIOLE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1631,,36,,05,1124694,1925339,,41.951498661,-87.817032022
,HJ172581,02/08/2003 05:17:39 PM,009XX W ARGYLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,2024,,48,,14,1169155,1933607,,41.973335022,-87.653352743
,HJ172397,02/08/2003 02:00:00 PM,009XX W NORTH AVE,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,true,false,1822,,32,,05,1169716,1910844,,41.910860169,-87.65195519
,HJ172969,02/08/2003 01:00:00 PM,051XX W HUTCHINSON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1624,,45,,14,1141375,1927772,,41.957882906,-87.755651765
,HJ172992,02/08/2003 10:17:15 PM,079XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0624,,8,,08B,1183940,1852521,,41.750496123,-87.601527212
,HJ172654,02/08/2003 05:30:00 PM,048XX N MAGNOLIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,2033,,46,,08A,1167049,1933010,,41.971742444,-87.66111418
,HJ173477,02/08/2003 09:00:00 PM,133XX S COMMERCIAL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0433,,10,,06,1198108,1817168,,41.653141742,-87.550787245
,HJ171776,02/08/2003 08:55:00 AM,076XX S STATE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,false,false,0623,,6,,04A,1177594,1854568,,41.756259091,-87.624719943
,HJ173550,02/08/2003 10:00:00 PM,015XX W MONROE ST,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,OTHER,false,false,1211,,2,,26,1166212,1899641,,41.880194,-87.665148099
,HJ171780,02/08/2003 08:30:00 AM,094XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,GAS STATION,true,false,0633,,6,,08B,1180576,1842371,,41.72272118,-87.614165159
,HJ173566,02/08/2003 07:00:00 PM,081XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0631,,6,,14,1179887,1851124,,41.746756233,-87.616421807
,HJ172360,02/08/2003 03:00:00 PM,057XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0712,,16,,08B,1169962,1866773,,41.789920212,-87.652335402
,HJ172126,02/08/2003 01:00:00 PM,079XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0624,,6,,08B,1180278,1852420,,41.750303655,-87.614949447
,HJ172463,02/08/2003 04:16:42 PM,052XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0934,,3,,14,1171524,1870117,,41.799062419,-87.646510048
,HJ172665,02/08/2003 06:15:00 PM,057XX W 64TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0812,,13,,08B,1139315,1861211,,41.775268289,-87.76484561
,HJ172927,02/08/2003 09:15:00 PM,006XX N LOREL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1524,,37,,14,1140564,1903692,,41.891819793,-87.759226029
,HJ172975,02/08/2003 08:38:00 PM,066XX S STEWART AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,true,false,0722,,6,,03,1174775,1860698,,41.77314378,-87.634868524
,HJ172430,02/08/2003 03:50:00 PM,072XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0334,,7,,08B,1193764,1857376,,41.763583691,-87.56536932
,HJ173414,02/08/2003 08:30:00 PM,077XX S COLFAX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0421,,7,,14,1194863,1854213,,41.754877189,-87.561445358
,HJ173665,02/08/2003 10:00:00 PM,020XX N BURLING ST,0810,THEFT,OVER $500,ALLEY,false,false,1812,,43,,06,1170949,1913878,,41.919158655,-87.647336469
,HJ173657,02/08/2003 11:00:00 PM,021XX W HOMER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1434,,32,,07,1161881,1912996,,41.916932599,-87.680677966
,HJ173727,02/08/2003 11:00:00 AM,012XX W BARRY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1932,,32,,06,1167452,1920717,,41.938001273,-87.659987467
,HJ172827,02/08/2003 07:30:01 PM,016XX S CLARK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0132,,3,,15,1175771,1892296,,41.859829267,-87.630269741
,HJ172879,02/08/2003 08:30:00 PM,014XX N KILDARE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2534,,37,,08B,1147452,1909187,,41.906769402,-87.733788181
,HJ174264,02/08/2003 07:00:00 PM,003XX W 30TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2113,,11,,14,1174335,1884935,,41.839662267,-87.635760334
,HJ173093,02/08/2003 11:40:00 PM,029XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1931,,32,,06,1165142,1919763,,41.935432921,-87.668504341
,HJ171488,02/08/2003 12:23:57 AM,001XX N SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1212,,27,,14,1170077,1900946,,41.883691561,-87.650918236
,HJ172167,02/08/2003 02:30:00 AM,034XX W DIVERSEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1412,,35,,07,1152959,1918406,,41.931959728,-87.713313736
,HJ171527,02/08/2003 01:15:26 AM,016XX S HOMAN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,true,true,1021,,24,,04A,1153975,1891391,,41.857807752,-87.710300968
,HJ172823,02/08/2003 07:15:00 PM,010XX W 14TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1232,,25,,08B,1169794,1893572,,41.863462926,-87.652172315
,HJ173748,02/08/2003 10:00:00 PM,077XX S HOMAN AVE,0460,BATTERY,SIMPLE,STREET,false,false,0835,,18,,08B,1155058,1852976,,41.75237008,-87.707352659
,HJ171843,02/08/2003 09:55:00 AM,013XX W GREENLEAF AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARK PROPERTY,false,false,2423,,49,,08B,1166247,1947084,,42.01037908,-87.663658544
,HJ172705,02/08/2003 04:15:00 PM,005XX E 51ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0234,,4,,07,1180467,1871309,,41.802132606,-87.613677631
,HJ174869,02/08/2003 09:00:00 PM,061XX S PEORIA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT/LAND,false,false,0712,,16,,14,1171355,1864285,,41.783062465,-87.647300473
,HJ174904,02/08/2003 08:00:00 PM,072XX N CLARK ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,2424,,49,,26,1163243,1947985,,42.012915394,-87.674685821
,HJ172986,02/08/2003 09:45:00 PM,001XX W 109TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0513,,34,,08B,1177277,1832675,,41.696189008,-87.626540453
,HJ174297,02/08/2003 06:00:00 PM,095XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,0511,,8,,06,1183530,1841855,,41.721236987,-87.603361132
,HJ171530,02/08/2003 01:02:13 AM,073XX S YATES BLVD,0460,BATTERY,SIMPLE,APARTMENT,false,false,0334,,7,,08B,1193480,1856721,,41.761793274,-87.566431622
,HJ172432,02/08/2003 04:00:00 PM,073XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0733,,17,,08B,1171579,1856090,,41.760569493,-87.646719087
,HJ171943,02/08/2003 11:00:00 AM,011XX E 132ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,true,0533,,9,,08B,1186171,1818040,,41.655823702,-87.594435994
,HJ172991,02/08/2003 09:30:00 PM,055XX W AGATITE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,false,false,1623,,45,,26,1138626,1929040,,41.961412823,-87.765727303
,HJ172456,02/08/2003 04:32:14 PM,003XX E 47TH ST,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,true,false,0222,,3,,04B,1179114,1873929,,41.809353094,-87.618559682
,HJ172146,02/08/2003 01:00:00 PM,032XX W BELMONT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CTA BUS,true,false,1412,,35,,15,1154442,1921103,,41.939330941,-87.707791583
,HJ174989,02/08/2003 02:00:00 AM,096XX S HOXIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,0431,,7,,14,1195060,1841428,,41.719789218,-87.561143811
,HJ172336,02/08/2003 01:00:00 PM,019XX W NORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,1434,,32,,03,1162989,1910660,,41.910499243,-87.676672898
,HJ172526,02/08/2003 01:00:00 PM,047XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,STREET,false,false,0223,,3,,06,1179661,1873623,,41.808500903,-87.616562762
,HJ172636,02/08/2003 06:09:27 PM,055XX S INDIANA AVE,0460,BATTERY,SIMPLE,STREET,true,false,0233,,20,,08B,1178546,1868177,,41.793582028,-87.620817871
,HJ174389,02/08/2003 08:15:00 PM,100XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,true,false,2232,,34,,26,1172752,1838202,,41.711456631,-87.642945914
,HJ173446,02/08/2003 06:30:00 PM,079XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0623,,6,,14,1178529,1852373,,41.750214575,-87.621359954
,HJ172592,02/08/2003 05:20:00 PM,037XX S WESTERN AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,SMALL RETAIL STORE,false,false,0913,,12,,11,1160991,1879511,,41.825065156,-87.684877187
,HJ172874,02/08/2003 03:40:00 PM,026XX N ELSTON AVE,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,DEPARTMENT STORE,true,false,1432,,1,,13,1160867,1917657,,41.929743818,-87.684273777
,HJ172643,02/08/2003 06:14:04 PM,001XX E GARFIELD BLVD,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,true,false,0232,,3,,08B,1178244,1868584,,41.794705738,-87.621912922
,HJ173849,02/08/2003 11:00:00 PM,016XX W 81ST ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0614,,18,,06,1166630,1850994,,41.746692325,-87.665002465
,HJ172548,02/08/2003 05:07:50 PM,076XX S DAMEN AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,VEHICLE NON-COMMERCIAL,false,false,0611,,18,,17,1164348,1854091,,41.755239277,-87.673277249
,HJ172948,02/08/2003 09:30:00 PM,043XX S WELLS ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0935,,3,,08A,1175334,1876245,,41.815793845,-87.632354663
,HJ172807,02/08/2003 07:45:56 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0122,,42,,06,1176352,1900927,,41.883500187,-87.627876698
,HJ174227,02/08/2003 10:00:00 PM,075XX S PERRY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0623,,6,,06,1176700,1854994,,41.757448244,-87.627983449
,HJ173402,02/08/2003 09:00:00 PM,081XX S DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0614,,18,,14,1164444,1850607,,41.745676653,-87.67302342
,HJ172140,02/08/2003 01:00:00 PM,010XX W NORTH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1811,,32,,06,1169336,1910832,,41.910835515,-87.653351515
,HJ172071,02/08/2003 12:16:10 PM,017XX S PRAIRIE AVE,0810,THEFT,OVER $500,OTHER,true,false,0133,,2,,06,1178357,1891935,,41.858780159,-87.620788371
,HJ175199,02/08/2003 10:15:00 AM,012XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,1821,,42,,07,1175313,1908559,,41.904466173,-87.631462688
,HJ171961,02/08/2003 10:33:00 AM,052XX W LEXINGTON ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,1522,,29,,08B,1141582,1896127,,41.871041732,-87.755674327
,HJ171916,02/08/2003 11:15:33 AM,0000X S WABASH AVE,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,true,false,0123,,42,,26,1176816,1900209,,41.881519476,-87.626194599
,HJ171753,02/08/2003 01:30:00 AM,008XX N KOLIN AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,1111,,37,,07,1147221,1905282,,41.896058098,-87.73473684
,HJ173110,02/08/2003 10:40:00 PM,006XX E GRAND AVE,0460,BATTERY,SIMPLE,RESTAURANT,false,false,1834,,42,,08B,1180796,1904058,,41.891990384,-87.611461502
,HJ172589,02/08/2003 05:25:00 PM,040XX W LAKE ST,031A,ROBBERY,ARMED: HANDGUN,CTA PLATFORM,false,false,1114,,28,,03,1149512,1901446,,41.885487535,-87.726422045
,HJ173972,02/08/2003 05:00:00 PM,019XX N WILMOT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1434,,32,,14,1160490,1912931,,41.916783168,-87.685790293
,HJ172856,02/08/2003 08:30:00 PM,028XX W OGDEN AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1022,,24,,08A,1157742,1892610,,41.861076976,-87.696440558
,HJ173002,02/08/2003 10:12:08 PM,003XX E WACKER DR,0460,BATTERY,SIMPLE,STREET,false,false,0124,,42,,08B,1178664,1902455,,41.887640628,-87.619340283
,HJ176021,02/08/2003 12:01:00 AM,012XX S KILDARE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1011,,24,,06,1147914,1894008,,41.865107657,-87.732481465
