ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HN196947,04/16/2003 11:00:00 PM,040XX E 134TH ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0433,,10,,17,,,,,
,HJ303896,04/16/2003 06:30:00 AM,022XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,false,false,1812,,43,,06,1169258,1915085,,41.922507677,-87.653514209
,HJ303525,04/16/2003 01:30:00 AM,014XX W JUNEWAY TER,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2422,,49,,05,1165207,1951397,,42.022236277,-87.667361602
,HJ303915,04/16/2003 12:00:00 AM,008XX W 33RD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,GROCERY FOOD STORE,false,false,0924,,11,,14,1171048,1883139,,41.834806505,-87.647874704
,HJ303633,04/16/2003 03:30:00 AM,051XX S LAPORTE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0814,,23,,14,1144231,1870051,,41.799436129,-87.746602686
,HJ303685,04/16/2003 06:26:00 AM,086XX S CICERO AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0834,,18,,06,1145928,1846740,,41.735434763,-87.740968012
,HJ303493,04/16/2003 01:01:09 AM,050XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0931,,16,,15,1167186,1871400,,41.802677132,-87.662381777
,HJ304091,04/16/2003 10:00:00 AM,014XX N LUNA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2532,,37,,26,1139072,1909079,,41.906629637,-87.764574399
,HJ304093,04/16/2003 10:00:00 AM,065XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0312,,20,,26,1180046,1861715,,41.775815434,-87.615515359
,HJ304264,04/16/2003 10:00:00 AM,012XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1811,,32,,06,1167844,1915425,,41.923471298,-87.65869983
,HJ304498,04/16/2003 11:15:00 AM,0000X W RANDOLPH ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,0122,,42,,06,1176057,1901283,,41.88448372,-87.628949218
,HJ303586,04/16/2003 03:02:32 AM,051XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,false,false,0234,,3,,08B,1179796,1871087,,41.801538809,-87.616145232
,HJ304632,04/16/2003 02:30:00 PM,076XX S CICERO AVE,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,0833,,13,,06,1145727,1853720,,41.754592961,-87.741528537
,HJ304631,04/16/2003 01:15:00 PM,005XX S DEARBORN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,false,false,0132,,2,,11,1176008,1897956,,41.875355342,-87.629229381
,HJ304962,04/16/2003 06:20:00 PM,007XX E 51ST ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,0223,,4,,06,1181903,1871351,,41.802214744,-87.608409988
,HJ304953,04/16/2003 06:50:00 AM,020XX N NARRAGANSETT AVE,0810,THEFT,OVER $500,STREET,false,false,2512,,29,,06,1133419,1912923,,41.91727903,-87.785250268
,HJ304995,04/16/2003 05:30:00 PM,003XX E 56TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0234,,20,,14,1179637,1867970,,41.792989118,-87.616823621
,HJ305008,04/16/2003 12:00:00 AM,049XX W AINSLIE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1623,,45,,14,1142696,1932131,,41.969819827,-87.750686282
,HJ305112,04/16/2003 03:00:00 PM,016XX S KOSTNER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1012,,24,,06,1147319,1891572,,41.858434376,-87.734728096
,HJ305253,04/16/2003 08:30:00 PM,080XX S HOUSTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0422,,7,,26,1197883,1852426,,41.749898649,-87.550437762
,HJ305345,04/16/2003 02:00:00 PM,037XX S PARNELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0925,,11,,14,1173245,1880050,,41.826281625,-87.63990483
,HJ305475,04/16/2003 10:00:00 PM,052XX W CHICAGO AVE,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,1524,,37,,06,1141461,1904831,,41.894928829,-87.755903553
,HJ305479,04/16/2003 08:00:00 PM,010XX W TAYLOR ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1213,,25,,06,1169401,1895758,,41.86947003,-87.653551437
,HJ305530,04/16/2003 11:59:00 PM,068XX S GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,0723,,6,,14,1171817,1859473,,41.769847644,-87.645747697
