ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HM667765,05/15/2003 12:00:00 PM,008XX W LAWRENCE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,true,2024,,48,,06,,,,,
,HJ364302,05/15/2003 12:00:00 AM,044XX S SPAULDING AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0821,,14,,05,1155117,1874747,,41.812111756,-87.706554899
,HJ364133,05/15/2003 12:10:00 AM,015XX S THROOP ST,0460,BATTERY,SIMPLE,STREET,false,false,1222,,2,,08B,1167950,1892740,,41.861219797,-87.658965463
,HJ364350,05/15/2003 02:30:00 AM,083XX S PHILLIPS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0423,,7,,14,1193959,1850053,,41.74348402,-87.564894346
,HJ364269,05/15/2003 05:00:00 AM,064XX S LA CROSSE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0813,,13,,05,1145156,1861486,,41.775914985,-87.743425931
,HJ364355,05/15/2003 12:00:00 AM,061XX W NEWPORT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1633,,38,,07,1134880,1922301,,41.94298758,-87.779659943
,HJ364336,05/15/2003 01:00:00 AM,003XX W 103RD ST,0810,THEFT,OVER $500,STREET,false,false,0512,,34,,06,1175841,1836625,,41.707060598,-87.631680341
,HJ364186,05/15/2003 12:47:00 AM,010XX N HERMITAGE AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,true,false,1322,,1,,11,1164539,1906972,,41.900346409,-87.671083391
,HJ364423,05/15/2003 12:00:00 AM,067XX S CHAPPEL AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0331,,5,,06,1191036,1860752,,41.7729141,-87.575258771
,HJ364242,05/15/2003 03:46:47 AM,054XX S WELLS ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0934,,3,,06,1175552,1868549,,41.794670403,-87.631785431
,HJ364123,05/15/2003 12:32:00 AM,041XX N MONTICELLO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1723,,33,,14,1151319,1927193,,41.956104321,-87.719109147
,HJ364453,05/15/2003 12:00:00 AM,047XX S LAWLER AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0814,,23,,07,1143490,1872773,,41.806919579,-87.749252334
,HJ364118,05/15/2003 12:39:53 AM,047XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,0911,,14,,14,1158509,1872851,,41.806840326,-87.694164746
,HJ364250,05/15/2003 03:50:04 AM,023XX S STATE ST,0460,BATTERY,SIMPLE,CHA APARTMENT,false,true,0134,,3,,08B,1176685,1888774,,41.85014407,-87.627021086
,HJ364206,05/15/2003 02:20:00 AM,012XX N CLARK ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1821,,42,,06,1175313,1908559,,41.904466173,-87.631462688
,HJ364686,05/15/2003 10:00:00 AM,016XX W 80TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0611,,21,,26,1166520,1851655,,41.748508547,-87.665386731
,HJ364543,05/15/2003 09:46:28 AM,053XX S HERMITAGE AVE,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",true,false,0932,,16,,26,1165584,1869385,,41.797181898,-87.668314197
,HJ364926,05/15/2003 01:00:00 AM,078XX S EUCLID AVE,0810,THEFT,OVER $500,STREET,false,false,0414,,8,,06,1190563,1853393,,41.752731824,-87.577229754
,HJ364128,05/15/2003 12:42:05 AM,030XX W CULLERTON ST,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1022,,24,,08B,1156468,1890231,,41.854574579,-87.701181459
,HJ364961,05/15/2003 07:25:00 AM,074XX S MORGAN ST,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",false,false,0733,,17,,06,1170928,1855632,,41.759326916,-87.649118375
,HJ364254,05/15/2003 03:35:00 AM,074XX S PERRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0731,,6,,08B,1176684,1855576,,41.75904568,-87.628024599
,HJ365122,05/15/2003 01:00:00 PM,085XX W BRYN MAWR AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1614,,41,,06,1118305,1936067,,41.981040824,-87.840291518
,HJ365123,05/15/2003 12:00:00 PM,021XX S PEORIA ST,0890,THEFT,FROM BUILDING,WAREHOUSE,false,false,1233,,25,,06,1170918,1889937,,41.853463651,-87.648152706
,HJ365348,05/15/2003 03:45:00 PM,022XX S DR MARTIN LUTHER KING JR DR,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,0133,,2,,06,1178866,1889450,,41.851949553,-87.618995915
,HJ365481,05/15/2003 08:00:00 AM,063XX S HARVARD AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0722,,20,,06,1175149,1863083,,41.77968014,-87.633426382
,HJ365523,05/15/2003 05:15:00 AM,100XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2232,,34,,07,1171422,1838226,,41.711551651,-87.647815994
,HJ365561,05/15/2003 05:00:00 PM,027XX N NEVA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2512,,36,,11,1127950,1917491,,41.929908359,-87.805240502
