ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HN770700,05/01/2006 12:01:00 AM,122XX S BISHOP ST,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,0524,,34,,06,,,,,
,HP169102,05/01/2006 05:00:00 AM,061XX S KIMBARK AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,0314,,20,,17,,,,,
,HM322905,05/01/2006 01:35:39 AM,069XX S THROOP ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0734,,17,,18,,,,,
,HP245899,05/01/2006 12:01:00 AM,042XX W 76TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0833,,13,,06,,,,,
,HP253639,05/01/2006 12:01:00 AM,076XX S VERNON AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,true,0624,,6,,06,,,,,
,HP263514,05/01/2006 12:01:00 AM,023XX N MANGO AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2515,,37,,06,,,,,
,HP329859,05/01/2006 05:00:00 PM,059XX W BERTEAU AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,1624,,38,,20,,,,,
,HP426507,05/01/2006 09:00:00 AM,044XX S RICHMOND ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0912,,14,,06,,,,,
,HP683171,05/01/2006 12:00:00 AM,025XX W 47TH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,BANK,false,false,0914,,12,,06,,,,,
,HP714945,05/01/2006 11:00:00 PM,128XX S CARONDOLET AVE,0810,THEFT,OVER $500,STREET,false,false,0433,,10,,06,,,,,
,HR106632,05/01/2006 09:00:00 AM,053XX N LINCOLN AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,BANK,false,false,2011,,40,,06,,,,,
,HR224226,05/01/2006 09:00:00 AM,029XX N KOSTNER AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,2523,,31,,06,,,,,
,HR249873,05/01/2006 12:00:00 AM,103XX S WALLACE ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,OTHER,false,false,2232,,34,,06,,,,,
,HR407396,05/01/2006 12:30:00 AM,056XX N WINTHROP AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,false,false,2022,,48,,06,,,,,
,HR660243,05/01/2006 12:00:00 AM,004XX E SOUTH WATER ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0124,,42,,06,,,,,
,HS306944,05/01/2006 09:00:00 AM,067XX S NORMAL BLVD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0722,,6,,06,,,,,
,HS528048,05/01/2006 09:00:00 AM,007XX N LOCKWOOD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1524,,28,,06,,,,,
,HS567957,05/01/2006 12:00:00 PM,016XX E 50TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,true,2132,,4,,02,,,,,
,HS631725,05/01/2006 12:00:00 AM,062XX S PARKSIDE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,0812,,13,,02,,,,,
,HT133175,05/01/2006 12:01:00 AM,055XX S TALMAN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0824,,16,,06,,,,,
,HT195177,05/01/2006 12:01:00 AM,072XX S VINCENNES AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0731,,6,,06,,,,,
,HT517819,05/01/2006 09:00:00 AM,009XX W VAN BUREN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,false,false,1213,,2,,06,,,,,
