ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HM618524,09/23/2006 02:39:00 PM,010XX W 84TH ST,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,true,false,0613,,21,,18,,,,,
,HP385172,09/23/2006 03:00:00 PM,071XX S BELL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0832,,18,,06,,,,,
,HT155466,09/23/2006 12:01:00 AM,032XX S HARDING AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1031,,22,,06,,,,,
,HM617620,09/23/2006 12:45:00 AM,028XX W MC LEAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1414,,35,,04B,1157121,1913544,,41.918534424,-87.698151289
,HM617774,09/23/2006 02:21:00 AM,006XX N CLARK ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1832,,42,,06,1175423,1904628,,41.893676841,-87.631176812
,HM617675,09/23/2006 01:00:00 AM,014XX N ROCKWELL ST,0650,BURGLARY,HOME INVASION,APARTMENT,true,false,1423,,26,,05,1158810,1909564,,41.907578499,-87.692055083
,HM617656,09/23/2006 12:40:29 AM,011XX N FRANCISCO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1311,,26,,14,1156848,1907349,,41.901540374,-87.69932256
,HM617781,09/23/2006 03:19:00 AM,044XX N CLIFTON AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,false,false,2311,,46,,04B,1167852,1929601,,41.962370707,-87.65826022
,HM617807,09/23/2006 03:45:00 AM,056XX S ARTESIAN AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,0824,,16,,03,1160994,1867097,,41.790999534,-87.685209637
,HM617809,09/23/2006 03:45:00 AM,005XX W DIVERSEY PKWY,0460,BATTERY,SIMPLE,SIDEWALK,true,false,2333,,44,,08B,1172409,1918883,,41.93286042,-87.641824
