ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP212145,05/08/2001 12:00:00 PM,056XX W LAKE ST,1120,DECEPTIVE PRACTICE,FORGERY,BANK,false,false,1512,,29,,10,1138420,1902169,,41.887679583,-87.767137009
,G263741,05/08/2001 01:00:00 AM,003XX N JEFFERSON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1212,,,,26,1172227,1902452,,41.887776935,-87.642978822
,G263768,05/08/2001 12:30:00 AM,021XX W 108 PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2212,,,,14,1164095,1832806,,41.696835199,-87.674801171
,G263766,05/08/2001 01:00:00 AM,069XX S CLYDE AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0331,,,,08B,1191370,1859353,,41.769067051,-87.574079708
,G263775,05/08/2001 01:30:00 AM,021XX W CERMAK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1223,,,,14,1162676,1889428,,41.852243392,-87.678417959
,G263851,05/08/2001 01:30:00 AM,003XX N DEARBORN ST,0810,THEFT,OVER $500,OTHER,false,false,1831,,,,06,1175923,1902592,,41.888078706,-87.629401847
,G263875,05/08/2001 03:30:00 AM,076XX S ST LAWRENCE AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0624,,,,07,1181594,1854614,,41.756293973,-87.610059483
,G263743,05/08/2001 12:45:00 AM,029XX E 83 ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,0424,,,,26,1197376,1850467,,41.744535652,-87.55236074
,G263792,05/08/2001 12:30:00 AM,031XX N HALSTED ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,2332,,,,06,1170404,1921423,,41.939874429,-87.649117633
,G263811,05/08/2001 02:25:00 AM,012XX S RACINE AV,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,1232,,,,26,1168598,1894754,,41.866732386,-87.656528513
,G263858,05/08/2001 12:01:00 AM,061XX S WESTERN AV,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0825,,,,05,1161394,1863508,,41.781142552,-87.683842331
,G263829,05/08/2001 03:10:00 AM,007XX W JACKSON BV,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,true,false,1213,,,,11,1171312,1898825,,41.877844355,-87.646445578
,G263868,05/08/2001 04:00:00 AM,010XX S LYTLE ST,0820,THEFT,$500 AND UNDER,CHA APARTMENT,true,false,1231,,,,06,1168247,1895365,,41.868416605,-87.657799417
,G263934,05/08/2001 01:00:00 AM,085XX S ST LAWRENCE AV,0810,THEFT,OVER $500,STREET,false,false,0632,,,,06,1181773,1848337,,41.739065064,-87.60959698
,G263941,05/08/2001 12:00:00 AM,052XX W 64 PL,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0813,,,,07,1142431,1861145,,41.775030082,-87.753424153
,G263774,05/08/2001 01:48:07 AM,076XX S BLACKSTONE AV,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0411,,,,04B,1187570,1854645,,41.756239085,-87.588157972
,G263991,05/08/2001 07:00:00 AM,088XX S EMERALD AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,true,true,2223,,,,26,1172889,1846482,,41.734175105,-87.642200742
,G263704,05/08/2001 12:02:57 AM,047XX N WINCHESTER AV,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT/GROUNDS,true,false,1922,,,,14,1162521,1931444,,41.967541559,-87.677808295
,G264001,05/08/2001 12:00:00 AM,026XX W CRYSTAL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1423,,,,14,1158204,1908175,,41.903779379,-87.694319211
,G263771,05/08/2001 01:30:00 AM,055XX W NORTH AV,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,2532,,,,04B,1139209,1910048,,41.909286192,-87.764047511
,G264013,05/08/2001 02:45:00 AM,002XX W 112 ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,false,0522,,,,07,1176371,1830622,,41.690575626,-87.62991903
,G263847,05/08/2001 04:04:47 AM,017XX W AUGUSTA BV,0460,BATTERY,SIMPLE,RESIDENCE,true,true,1322,,,,08B,1164506,1906757,,41.899757133,-87.671210696
,G263874,05/08/2001 03:00:00 AM,053XX S KEDZIE AV,0610,BURGLARY,FORCIBLE ENTRY,OTHER,false,false,0911,,,,05,1155990,1869166,,41.796779216,-87.703502736
,G263804,05/08/2001 01:59:01 AM,031XX E 80 ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0422,,,,14,1198809,1852574,,41.7502816,-87.547039624
,G263835,05/08/2001 02:40:00 AM,006XX W 117 PL,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0524,,,,08B,1173738,1826990,,41.680667443,-87.639665637
,G263905,05/08/2001 06:02:00 AM,016XX N KIMBALL AV,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1422,,,,03,1153401,1911055,,41.911779184,-87.711885209
,G263808,05/08/2001 01:55:00 AM,050XX N BROADWAY,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,2033,,,,14,1167447,1933529,,41.973158017,-87.659635678
,G263903,05/08/2001 05:15:00 AM,028XX W 40 ST,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,false,false,0912,,,,03,1157902,1877959,,41.820869696,-87.696252151
,G264046,05/08/2001 08:00:00 AM,051XX S LAKE PARK AV,0810,THEFT,OVER $500,GAS STATION,false,false,2132,,,,06,1187472,1871458,,41.802377658,-87.587983049
,G263733,05/08/2001 12:50:00 AM,031XX N ASHLAND AV,0810,THEFT,OVER $500,STREET,true,false,1931,,,,06,1165129,1921241,,41.939488908,-87.668509993
,G263820,05/08/2001 01:52:00 AM,006XX W OAKDALE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,2333,,,,06,1171421,1919900,,41.93567292,-87.645424789
,G263821,05/08/2001 01:52:00 AM,006XX W OAKDALE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,2333,,,,06,1171415,1919820,,41.935453529,-87.645449199
,G263822,05/08/2001 01:52:00 AM,006XX W OAKDALE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,2333,,,,06,1171456,1919822,,41.935458114,-87.645298463
,G263815,05/08/2001 02:00:00 AM,032XX W 83 PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0834,,,,07,1156261,1849008,,41.741457137,-87.703050649
,G263927,05/08/2001 06:58:00 AM,084XX S DANTE AV,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,false,0412,,,,26,1187389,1848945,,41.740602033,-87.589001995
,G263691,05/08/2001 12:00:00 AM,111XX S STATE ST,0460,BATTERY,SIMPLE,STREET,true,false,0531,,,,08B,1178267,1831329,,41.692473041,-87.622956354
