ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,G524557,09/02/2001 12:45:00 AM,091XX S HARVARD AV,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0634,,,,26,1175768,1844149,,41.727709122,-87.631723133
,G524607,09/02/2001 12:30:00 AM,016XX N CALIFORNIA AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1421,,,,06,1157407,1910989,,41.911517483,-87.697170129
,G524630,09/02/2001 01:10:00 AM,015XX W PRATT BL,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,2431,,,,26,1164821,1945299,,42.005511495,-87.668956269
,G524692,09/02/2001 01:00:00 AM,027XX N DRAKE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1412,,,,06,1152288,1917880,,41.93052963,-87.715793501
,G524713,09/02/2001 03:00:00 AM,007XX N LARAMIE AV,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1531,,,,26,1141595,1904493,,41.893998841,-87.755419762
,G524808,09/02/2001 04:45:00 AM,051XX S DREXEL AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2124,,,,26,1183084,1870852,,41.800818034,-87.604094349
,G524805,09/02/2001 03:45:00 AM,016XX N MILWAUKEE AV,0810,THEFT,OVER $500,STREET,false,false,1434,,,,06,1162692,1910634,,41.910434132,-87.677764693
,G524661,09/02/2001 01:15:00 AM,011XX N ROCKWELL ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,true,false,1312,,,,24,1158907,1907239,,41.901196519,-87.691762634
,G524735,09/02/2001 03:30:00 AM,019XX W WALNUT ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,1333,,,,26,1163376,1901652,,41.885772469,-87.675504945
,G524571,09/02/2001 12:15:00 AM,045XX N MARINE DR,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,true,2313,,,,06,1170511,1930741,,41.965440999,-87.6484507
,G524858,09/02/2001 06:20:00 AM,131XX S CORLISS AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0533,,,,08B,1183971,1818241,,41.656426744,-87.602479669
