ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HS267166,04/20/2001 12:00:00 PM,083XX S PAULINA ST,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,false,false,0614,,18,,06,1166420,1849447,,41.742451607,-87.665815932
,G223784,04/20/2001 12:10:00 AM,007XX N SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1112,,27,,01A,1150255,1904702,,41.89440789,-87.723608625
,G225749,04/20/2001 09:15:00 PM,035XX W DICKENS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1413,,26,,01A,1152689,1913733,,41.919141979,-87.714429901
,G225994,04/20/2001 11:18:00 PM,034XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,TAVERN,false,false,0922,,11,,01A,1166228,1882035,,41.831881201,-87.665592096
,G223799,04/20/2001 12:05:00 AM,006XX E 69 ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0321,,,,26,1182029,1859374,,41.769345852,-87.608318283
,G223848,04/20/2001 01:00:00 AM,072XX S MOZART ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0831,,,,26,1158596,1856132,,41.76095926,-87.694301385
,G223875,04/20/2001 12:30:00 AM,069XX S WABASH AV,2820,OTHER OFFENSE,TELEPHONE THREAT,PARKING LOT/GARAGE(NON.RESID.),false,false,0322,,,,26,1177878,1859205,,41.76897711,-87.623538926
,G223904,04/20/2001 12:05:00 AM,023XX E 93 ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0413,,,,14,1193366,1843796,,41.726328763,-87.567271155
,G223913,04/20/2001 01:25:00 AM,063XX N SHERIDAN RD,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,2433,,,,26,1168430,1942407,,41.997498185,-87.65576272
,G223960,04/20/2001 02:45:00 AM,080XX S EXCHANGE AV,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0422,,,,26,1197191,1851977,,41.748683811,-87.552988412
,G223983,04/20/2001 03:27:00 AM,075XX N RIDGE BL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2411,,,,26,1160534,1949769,,42.017867497,-87.684603862
,G224017,04/20/2001 04:10:00 AM,025XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1933,,,,14,1170467,1917200,,41.928284952,-87.649009978
,G224023,04/20/2001 01:00:00 AM,015XX S ST LOUIS AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1021,,,,26,1153335,1891937,,41.859318759,-87.71263568
,G224027,04/20/2001 03:00:00 AM,009XX W BELMONT AV,0820,THEFT,$500 AND UNDER,TAVERN/LIQUOR STORE,false,false,1924,,,,06,1169233,1921469,,41.940026221,-87.653420051
,G224035,04/20/2001 01:00:00 AM,055XX W DRUMMOND PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2514,,,,05,1139226,1917036,,41.928461733,-87.76381458
,G223868,04/20/2001 01:16:19 AM,109XX S WABASH AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0513,,,,08B,1178564,1832237,,41.694957996,-87.621841535
,G223858,04/20/2001 12:30:00 AM,068XX S CAMPBELL AV,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,0832,,,,04B,1160842,1859410,,41.769908489,-87.685979186
,G224080,04/20/2001 06:10:00 AM,041XX N LAVERGNE AV,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1624,,,,14,1142243,1926952,,41.955616653,-87.752481091
,G223903,04/20/2001 01:55:00 AM,045XX N BROADWAY,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,SIDEWALK,true,false,2313,,,,24,1168117,1930674,,41.965309322,-87.657254798
,G223958,04/20/2001 02:26:29 AM,077XX S SOUTH SHORE DR,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0421,,,,03,1197076,1855025,,41.757050603,-87.553308544
,G224084,04/20/2001 12:00:00 AM,077XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0612,,,,07,1170942,1853630,,41.753832865,-87.649125419
,G502704,04/20/2001 01:45:00 AM,035XX N LAKE SHORE DR,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,true,false,2331,,,,26,1171931,1924501,,41.948286989,-87.643414428
,G223888,04/20/2001 12:49:13 AM,021XX W POLK ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,STREET,true,false,1224,,,,11,1162029,1896368,,41.871300936,-87.680598975
,G223930,04/20/2001 02:16:04 AM,049XX W 43 ST,1330,CRIMINAL TRESPASS,TO LAND,CHA APARTMENT,true,false,0814,,,,26,1144142,1875564,,41.814566332,-87.7467911
,G223977,04/20/2001 02:56:56 AM,063XX S ALBANY AV,0460,BATTERY,SIMPLE,APARTMENT,false,false,0823,,,,08B,1156763,1862661,,41.778912993,-87.700843526
,G223916,04/20/2001 01:45:00 AM,099XX S PAXTON AV,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0431,,,,26,1192767,1839730,,41.715185868,-87.569597435
,G224104,04/20/2001 07:00:00 AM,014XX E 54 ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2131,,,,06,1186666,1869836,,41.797945913,-87.59099032
,G223950,04/20/2001 02:20:00 AM,013XX W COLUMBIA AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,2432,,,,08B,1166033,1944971,,42.004585562,-87.664506662
,G223954,04/20/2001 02:30:00 AM,057XX N BROADWAY,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,true,false,2022,,,,03,1167318,1938018,,41.985478743,-87.659980276
