ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HT475288,07/22/2007 12:00:00 AM,008XX W WELLINGTON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,HOSPITAL BUILDING/GROUNDS,false,false,1932,,44,,06,,,,,
,HN481271,07/22/2007 01:00:00 AM,089XX S UNIVERSITY AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0413,,8,,07,1185438,1846036,,41.73266551,-87.596241458
,HN481549,07/22/2007 05:00:00 AM,0000X W 79TH ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0623,,6,,06,1177483,1852629,,41.750940757,-87.625185222
,HN481221,07/22/2007 12:44:00 AM,034XX N ELAINE PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2331,,44,,18,1170795,1923106,,41.944484074,-87.647631118
,HN481584,07/22/2007 01:30:00 AM,072XX S MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0832,,18,,06,1160626,1856630,,41.762284223,-87.686847545
,HN481407,07/22/2007 03:02:00 AM,081XX S COLFAX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0422,,7,,08B,1194925,1851465,,41.747334936,-87.561308513
,HN481585,07/22/2007 07:30:00 AM,085XX S MARQUETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0423,,7,,14,1195642,1848895,,41.740264967,-87.558766042
,HN481400,07/22/2007 03:29:00 AM,016XX W AUGUSTA BLVD,0560,ASSAULT,SIMPLE,STREET,false,false,1322,,1,,08A,1165463,1906744,,41.899701138,-87.667696009
,HN481329,07/22/2007 02:10:34 AM,015XX W 54TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0932,,16,,06,1166840,1868915,,41.795865406,-87.663721706
,HN481482,07/22/2007 04:47:11 AM,057XX S LAFAYETTE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0233,,3,,05,1176953,1867111,,41.790692901,-87.626691364
,HN481299,07/22/2007 01:40:00 AM,025XX N SHEFFIELD AVE,0460,BATTERY,SIMPLE,STREET,false,false,1933,,43,,08B,1169199,1916875,,41.927420811,-87.653678862
,HN481631,07/22/2007 06:00:00 AM,019XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1211,,2,,06,1163685,1897391,,41.874073421,-87.674490355
,HN481306,07/22/2007 01:15:00 AM,018XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,false,1211,,2,,08B,1164331,1897766,,41.875088822,-87.672107941
,HN481634,07/22/2007 12:00:00 AM,116XX S MORGAN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0524,,34,,05,1171755,1827420,,41.681891016,-87.646911855
,HN481432,07/22/2007 03:50:00 AM,107XX S HOMAN AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2211,,19,,08A,1155574,1833094,,41.697800072,-87.705992693
,HN481483,07/22/2007 04:44:07 AM,040XX S MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,0914,,12,,08B,1160031,1877744,,41.820236127,-87.688447832
,HN481395,07/22/2007 03:02:00 AM,033XX E 91ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,false,true,0424,,10,,08B,1199759,1845252,,41.730165631,-87.543804638
,HN481213,07/22/2007 12:28:00 AM,0000X N LARAMIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,,28,,08B,1141705,1900100,,41.881941879,-87.755124478
,HN481186,07/22/2007 12:22:13 AM,006XX W 43RD ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0935,,11,,08B,1172986,1876397,,41.816263185,-87.640963038
