ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HN207812,03/04/2007 04:34:03 PM,017XX W HOWARD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,2422,,49,,06,1163126,1950347,,42.019399237,-87.675049485
,HN208304,03/04/2007 11:06:00 PM,085XX S RACINE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0613,,21,,26,1169815,1848104,,41.738693288,-87.653415499
,HN209251,03/04/2007 10:36:00 PM,057XX S LOOMIS BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0713,,16,,05,1167975,1866733,,41.789853406,-87.659622307
,HN208552,03/04/2007 11:00:00 PM,030XX N RUTHERFORD AVE,0810,THEFT,OVER $500,STREET,false,false,2511,,36,,06,1130890,1919513,,41.935406769,-87.794389847
,HN207071,03/04/2007 03:45:00 AM,040XX W DIVISION ST,0460,BATTERY,SIMPLE,OTHER,false,true,2534,,27,,08B,1149417,1907705,,41.902664731,-87.726608375
,HN208118,03/04/2007 08:45:00 PM,037XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DRIVEWAY - RESIDENTIAL,true,true,0913,,12,,08B,1155645,1879679,,41.825635219,-87.704485793
,HN207542,03/04/2007 01:16:06 PM,005XX E BROWNING AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,0212,,4,,18,1180684,1881421,,41.829875745,-87.612570753
,HN207757,03/04/2007 03:40:00 PM,004XX W ONTARIO ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1831,,42,,14,1173228,1904407,,41.893119413,-87.639244787
,HN208817,03/04/2007 02:30:00 PM,039XX W ADDISON ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1732,,30,,05,1149621,1923644,,41.946398818,-87.725443993
,HN209345,03/04/2007 05:12:00 AM,0000X W RANDOLPH ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,false,false,0122,,42,,26,1176157,1901285,,41.884486956,-87.628581948
,HN208163,03/04/2007 08:06:00 PM,012XX N CLYBOURN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1821,,27,,08B,1172828,1908553,,41.904505139,-87.640590874
,HN210415,03/04/2007 04:00:00 AM,019XX W NORTH AVE,0890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,false,false,1434,,32,,06,1162934,1910658,,41.910494911,-87.676875003
,HN208769,03/04/2007 05:00:00 PM,063XX W IRVING PARK RD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY,false,false,1633,,38,,14,1133330,1925915,,41.952932116,-87.785272115
,HN207903,03/04/2007 06:15:51 PM,024XX S CENTRAL PARK AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,1024,,22,,26,1152759,1887487,,41.847118839,-87.714867661
,HN207590,03/04/2007 02:30:55 PM,007XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1524,,28,,18,1141562,1904305,,41.893483556,-87.755545612
,HN207464,03/04/2007 12:55:57 PM,053XX W WASHINGTON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1523,,28,,18,1140952,1900238,,41.882334457,-87.757886124
,HN207270,03/04/2007 10:24:31 AM,013XX W ESTES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,2423,,49,,08B,1166011,1947522,,42.011586022,-87.66451428
,HN208136,03/04/2007 09:04:39 PM,011XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1134,,28,,08B,1156199,1894977,,41.867603546,-87.702040718
,HN210227,03/04/2007 07:00:00 PM,008XX W WEBSTER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1812,,43,,05,1170121,1914830,,41.921789126,-87.650350762
,HN210549,03/04/2007 10:00:00 PM,132XX S BALTIMORE AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0433,,10,,06,1199097,1817764,,41.654752541,-87.547148749
,HN208225,03/04/2007 09:41:00 PM,053XX S ELLIS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,false,true,2131,,5,,26,1183855,1870144,,41.798857241,-87.601288982
,HN207922,03/04/2007 06:07:00 PM,035XX W LEXINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1133,,24,,18,1152799,1896471,,41.871771181,-87.714483208
,HN208368,03/04/2007 12:30:00 AM,036XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1923,,44,,08B,1168060,1924585,,41.948602111,-87.657640897
,HN207656,03/04/2007 02:22:00 PM,057XX S CICERO AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,AIRPORT/AIRCRAFT,false,false,0813,,23,,07,1145662,1866073,,41.788492935,-87.7414552
,HN210353,03/04/2007 03:45:00 PM,046XX S HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0821,,14,,14,1150804,1873623,,41.809112571,-87.72240438
,HN208290,03/04/2007 10:55:07 PM,084XX S KOSTNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,0834,,18,,14,1148554,1848307,,41.739684896,-87.731307068
,HN211484,03/04/2007 07:00:00 PM,033XX S UNION AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0924,,11,,14,1172178,1882751,,41.83371698,-87.643739867
,HN211373,03/04/2007 02:00:00 PM,038XX S SACRAMENTO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0913,,12,,14,1156996,1879132,,41.824106941,-87.699544075
,HN207366,03/04/2007 11:11:13 AM,053XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,ALLEY,false,false,1523,,28,,08B,1140952,1900238,,41.882334457,-87.757886124
,HN207286,03/04/2007 10:20:25 AM,011XX S AUSTIN BLVD,0460,BATTERY,SIMPLE,STREET,false,false,1513,,29,,08B,1136552,1894559,,41.866830324,-87.774179073
,HN208311,03/04/2007 10:20:00 PM,012XX N BOSWORTH AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1433,,1,,03,1165863,1908295,,41.903948664,-87.666182509
,HN207803,03/04/2007 04:00:00 PM,046XX N HAMLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,1723,,39,,14,1150226,1930393,,41.964906776,-87.723043523
,HN208239,03/04/2007 10:30:00 PM,059XX S PEORIA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0712,,16,,18,1171324,1865421,,41.786180458,-87.647380902
,HN207641,03/04/2007 02:39:09 PM,074XX S COTTAGE GROVE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0323,,6,,06,1182849,1855828,,41.759596269,-87.605422568
,HN212784,03/04/2007 06:00:00 PM,020XX W SUPERIOR ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1313,,1,,06,1162765,1904934,,41.894791373,-87.677656564
,HN208403,03/04/2007 10:30:00 PM,022XX N LATROBE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,2515,,37,,26,1141022,1914291,,41.920896239,-87.757282573
,HN207143,03/04/2007 07:48:47 AM,028XX S SPAULDING AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,BAR OR TAVERN,false,false,1032,,22,,04B,1154824,1885047,,41.840382129,-87.707354352
,HN208482,03/04/2007 08:00:00 AM,012XX W 33RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0924,,11,,08B,1168681,1882640,,41.833488704,-87.65657429
,HN212182,03/04/2007 12:00:00 PM,052XX W AGATITE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1623,,45,,26,1140603,1929085,,41.961500141,-87.758457558
