ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HS204056,03/12/2010 12:24:10 PM,011XX W 122ND ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,0524,,34,,04A,1170772,1823890,,41.672225539,-87.650612577
,HY283535,03/12/2010 08:00:00 PM,016XX W MORSE AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,false,true,2431,,49,,17,1164350,1946140,,42.007829234,-87.670665163
,HS203031,03/12/2010 03:35:00 PM,080XX S SAWYER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0834,,18,,01A,1156110,1851183,,41.747428729,-87.703545586
,HS204230,03/12/2010 02:24:00 PM,034XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1121,,27,,01A,1153093,1905117,,41.895490875,-87.713174418
,HZ195696,03/12/2010 09:00:00 AM,041XX W POTOMAC AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2534,,37,,11,,,,,
,HS203412,03/12/2010 12:15:00 AM,057XX W OHIO ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,1511,,29,,24,1138044,1903400,,41.891064404,-87.768488063
,HS203398,03/12/2010 12:05:00 AM,097XX S AVENUE L,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0432,,10,,18,1201792,1841230,,41.71907755,-87.536493709
,HS203395,03/12/2010 12:15:00 AM,001XX W DIVISION ST,0460,BATTERY,SIMPLE,STREET,false,false,1824,,42,,08B,1175144,1908348,,41.903890971,-87.632089801
,HS203405,03/12/2010 12:01:00 AM,075XX S COLFAX AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0421,,7,,03,1194833,1855572,,41.758607126,-87.561510616
,HS203407,03/12/2010 12:25:00 AM,060XX W HIGGINS AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1622,,45,,06,1135114,1933335,,41.973261823,-87.778537299
,HS203425,03/12/2010 12:45:00 AM,066XX S WESTERN AVE,0560,ASSAULT,SIMPLE,GAS STATION,true,false,0832,,15,,08A,1161519,1860468,,41.77279778,-87.683468276
,HS203413,03/12/2010 12:20:00 AM,004XX W 80TH ST,2025,NARCOTICS,POSS: HALLUCINOGENS,STREET,true,false,0621,,21,,18,1174741,1851878,,41.74894141,-87.635255535
