ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HS154448,02/06/2010 07:27:00 PM,004XX N MONTICELLO AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1122,,27,,08B,1151959,1902803,,41.889163442,-87.717400366
,HS648643,02/06/2010 05:30:00 PM,103XX S DOTY AVE E,0820,THEFT,$500 AND UNDER,OTHER,false,false,0434,,10,,06,1189757,1836996,,41.707756212,-87.580708771
,HS154608,02/06/2010 09:45:00 PM,050XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,1532,,28,,01A,1142798,1901474,,41.885692025,-87.751076713
,HS153360,02/06/2010 12:01:00 AM,003XX W NORTH AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,GROCERY FOOD STORE,true,false,1821,,27,,04A,1173532,1910971,,41.911124622,-87.637932903
,HS153384,02/06/2010 12:15:00 AM,013XX W 15TH ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,true,false,1231,,2,,26,1167637,1892859,,41.861553084,-87.660110993
,HS153378,02/06/2010 12:15:00 AM,063XX S DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0726,,15,,06,1164113,1862700,,41.778868505,-87.673896581
,HS153381,02/06/2010 12:08:00 AM,007XX N LOTUS AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1524,,37,,18,1139784,1904275,,41.893433902,-87.762076407
,HS153399,02/06/2010 12:45:00 AM,021XX N MAJOR AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2515,,29,,18,1138052,1913398,,41.918499974,-87.768216791
,HS153367,02/06/2010 12:09:00 AM,018XX S HOMAN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1021,,24,,18,1153988,1890930,,41.856542457,-87.710265529
,HS153389,02/06/2010 12:42:00 AM,005XX E 64TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0312,,20,,18,1180864,1862693,,41.778480386,-87.612486621
,HS153380,02/06/2010 12:43:00 AM,071XX S CORNELL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0324,,5,,18,1188472,1857885,,41.765108444,-87.584749052
,HS153397,02/06/2010 12:50:00 AM,012XX E 47TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,2123,,4,,18,1185194,1874088,,41.809648475,-87.596254603
,HS153410,02/06/2010 12:30:00 AM,026XX W LITHUANIAN PLAZA CT,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0831,,18,,05,1160097,1858800,,41.768249915,-87.688726811
,HS153404,02/06/2010 01:03:00 AM,046XX N HAMLIN AVE,0460,BATTERY,SIMPLE,STREET,false,false,1723,,39,,08B,1150227,1930382,,41.964876571,-87.723040134
,HS153387,02/06/2010 12:30:00 AM,086XX S CHAPPEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,0412,,8,,14,1191347,1848042,,41.73802926,-87.574529683
,HS153403,02/06/2010 12:50:00 AM,051XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,POLICE FACILITY/VEH PARKING LOT,true,true,0232,,3,,08B,1175826,1871120,,41.80171934,-87.630703621
,HS153421,02/06/2010 01:03:00 AM,016XX W 60TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0714,,15,,18,1166643,1864927,,41.784926058,-87.664557876
,HS153351,02/06/2010 12:14:00 AM,004XX E 65TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0312,,20,,18,1180482,1862017,,41.776634154,-87.613907776
,HS153394,02/06/2010 12:15:00 AM,047XX W ERIE ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,false,false,1111,,28,,03,1144581,1903891,,41.89229117,-87.74446819
,HS153471,02/06/2010 02:30:00 AM,059XX W 63RD PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0812,,13,,14,1137917,1861857,,41.777066277,-87.769955099
,HS153414,02/06/2010 01:04:00 AM,052XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0934,,16,,08B,1170200,1870161,,41.799212087,-87.651364176
,HS153425,02/06/2010 01:10:00 AM,003XX N DEARBORN ST,0560,ASSAULT,SIMPLE,OTHER,true,false,1831,,42,,08A,1175883,1902611,,41.888131743,-87.629548167
,HS153427,02/06/2010 01:25:00 AM,123XX S EMERALD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0523,,34,,26,1173556,1823102,,41.670002157,-87.640446289
,HS153417,02/06/2010 12:40:00 AM,012XX S KARLOV AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1011,,24,,04B,1149242,1894226,,41.865680266,-87.727600657
,HS153423,02/06/2010 01:19:00 AM,012XX S KARLOV AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1011,,24,,14,1149247,1894049,,41.86519446,-87.727586886
,HS153395,02/06/2010 12:45:00 AM,066XX N NORTHWEST HWY,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1612,,41,,08B,1125155,1943746,,42.002001806,-87.814927871
,HS153432,02/06/2010 01:24:00 AM,045XX N HAMLIN AVE,0460,BATTERY,SIMPLE,STREET,false,false,1723,,39,,08B,1150242,1929833,,41.963369784,-87.722999361
,HS153476,02/06/2010 02:55:00 AM,007XX N LAWNDALE AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,1112,,27,,26,1151586,1904714,,41.89441476,-87.71871991
,HS153439,02/06/2010 01:40:00 AM,040XX S INDIANA AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA GARAGE / OTHER PROPERTY,false,false,0214,,3,,14,1178264,1878362,,41.821536978,-87.621542622
,HS153465,02/06/2010 01:37:00 AM,102XX S ABERDEEN ST,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,RESIDENCE,true,false,2232,,34,,11,1170791,1836985,,41.70815992,-87.650162931
,HS153492,02/06/2010 03:07:00 AM,032XX S ABERDEEN ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0924,,11,,08A,1169514,1883135,,41.834828981,-87.653503477
,HS153511,02/06/2010 03:36:00 AM,042XX S KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0912,,14,,18,1155712,1876523,,41.816973404,-87.704324749
,HS153466,02/06/2010 02:40:00 AM,030XX S KILDARE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1031,,22,,24,1148206,1884058,,41.837797971,-87.731665446
,HS153505,02/06/2010 03:30:00 AM,071XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0731,,6,,08B,1175860,1857595,,41.764604549,-87.630984087
,HS153503,02/06/2010 03:30:00 AM,087XX S LAFAYETTE AVE,2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,STREET,true,false,0634,,21,,22,1177462,1847094,,41.735752519,-87.625429032
,HS153448,02/06/2010 01:35:00 AM,013XX N KINGSBURY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1822,,32,,15,1170375,1908881,,41.905459195,-87.649591758
,HS153467,02/06/2010 02:03:00 AM,008XX W 31ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0924,,11,,18,1171155,1884314,,41.838028467,-87.647447666
,HS153485,02/06/2010 02:30:00 AM,050XX W MONTROSE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,true,false,1624,,45,,06,1142040,1928783,,41.960644851,-87.753181801
,HS153413,02/06/2010 12:50:00 AM,030XX W LYNDALE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1414,,35,,08B,1155738,1914933,,41.922373947,-87.703195066
,HS153478,02/06/2010 02:45:00 AM,034XX W CORTLAND ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,1422,,26,,03,1153207,1912415,,41.915514999,-87.712561748
,HS153509,02/06/2010 03:00:00 AM,016XX W WEBSTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1432,,32,,14,1164985,1914700,,41.921543095,-87.66922544
,HS153456,02/06/2010 01:59:00 AM,011XX N LAMON AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,OTHER,true,false,1531,,37,,08B,1143485,1907310,,41.901693867,-87.748407778
,HS153420,02/06/2010 12:01:00 AM,047XX W ROOSEVELT RD,0610,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,true,false,1131,,24,,05,1145008,1894282,,41.865914865,-87.743142658
,HS153475,02/06/2010 02:05:00 AM,040XX W 16TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,1012,,24,,18,1149554,1891738,,41.858846848,-87.726519835
,HS153490,02/06/2010 12:52:00 AM,092XX S ELLIS AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0413,,8,,24,1184497,1844009,,41.727125256,-87.599752011
,HS153501,02/06/2010 02:40:00 AM,042XX S MAPLEWOOD AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,STREET,true,false,0914,,12,,26,1160067,1876470,,41.816739375,-87.688350849
,HS153526,02/06/2010 04:20:00 AM,011XX N LARRABEE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,true,false,1822,,27,,26,1172122,1908040,,41.903113054,-87.643199348
,HS153507,02/06/2010 02:15:00 AM,012XX N BURLING ST,041A,BATTERY,AGGRAVATED: HANDGUN,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1822,,27,,04B,1171084,1908425,,41.904192368,-87.647000785
,HS153534,02/06/2010 04:48:19 AM,051XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0232,,3,,03,1177140,1871115,,41.801676043,-87.625884861
,HS153522,02/06/2010 03:00:00 AM,016XX W WEBSTER AVE,0810,THEFT,OVER $500,STREET,false,false,1432,,32,,06,1164985,1914700,,41.921543095,-87.66922544
,HS153499,02/06/2010 02:00:00 AM,114XX S MAY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,false,2234,,34,,07,1170715,1828751,,41.685566174,-87.650680237
,HS153498,02/06/2010 02:50:00 AM,001XX W ONTARIO ST,3100,PUBLIC PEACE VIOLATION,MOB ACTION,SIDEWALK,true,false,1832,,42,,24,1174862,1904450,,41.893200979,-87.633242486
,HS153524,02/06/2010 03:40:00 AM,076XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0621,,17,,08B,1172288,1854297,,41.755633717,-87.644173224
,HS153546,02/06/2010 03:45:00 AM,004XX W 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0621,,17,,08B,1174865,1852547,,41.750774468,-87.634781251
