ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HP402481,08/21/2003 12:01:00 AM,105XX S WENTWORTH AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0512,,34,,06,,,,,
,HW417905,08/21/2003 07:00:00 PM,042XX S MAPLEWOOD AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,0921,,12,,02,,,,,
,HJ576254,08/21/2003 12:26:00 AM,049XX W MELROSE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1634,,30,,26,1142895,1921155,,41.939697006,-87.750229153
,HJ576396,08/21/2003 03:45:00 AM,014XX W 71ST PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0734,,17,,26,1168008,1857334,,41.764060663,-87.65977124
,HJ576495,08/21/2003 06:00:00 AM,021XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1223,,25,,14,1160703,1889553,,41.852627469,-87.685655977
,HJ576331,08/21/2003 01:52:29 AM,044XX N CENTRAL PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1723,,33,,14,1151591,1929177,,41.961543201,-87.718056833
,HJ576406,08/21/2003 03:12:49 AM,032XX N KILPATRICK AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,false,1731,,30,,26,1144616,1921031,,41.939324441,-87.743907024
,HJ576390,08/21/2003 03:38:56 AM,055XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,GAS STATION,false,false,1712,,40,,06,1154044,1936699,,41.982135322,-87.708836606
,HJ576417,08/21/2003 04:15:00 AM,072XX S EXCHANGE AVE,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,VACANT LOT/LAND,false,false,0334,,7,,08B,1194059,1857352,,41.763510601,-87.564288891
,HJ576797,08/21/2003 09:10:00 AM,109XX S PARNELL AVE,0810,THEFT,OVER $500,STREET,false,false,2233,,34,,06,1174577,1832390,,41.6954673,-87.63643458
,HJ576804,08/21/2003 06:00:00 AM,077XX S PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0611,,17,,14,1166355,1853387,,41.753264913,-87.665942121
,HJ576447,08/21/2003 04:20:00 AM,068XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0321,,6,,08B,1181744,1859789,,41.770491241,-87.609350146
,HJ576423,08/21/2003 04:00:16 AM,034XX N ELAINE PL,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,RESIDENCE PORCH/HALLWAY,false,false,2331,,44,,03,1170786,1923140,,41.944577569,-87.647663198
,HJ576351,08/21/2003 02:31:05 AM,005XX E 41ST ST,0460,BATTERY,SIMPLE,STREET,false,false,0213,,4,,08B,1180594,1877928,,41.820292764,-87.613008408
,HJ576682,08/21/2003 12:05:00 AM,033XX S WESTERN AVE,0810,THEFT,OVER $500,STREET,false,false,0913,,12,,06,1160914,1882248,,41.832577392,-87.68508391
,HJ576971,08/21/2003 10:30:00 AM,001XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,false,false,0124,,42,,06,1177295,1900950,,41.883541976,-87.624413274
,HJ576296,08/21/2003 01:17:00 AM,008XX W SUNNYSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,2313,,46,,14,1169814,1930085,,41.963656175,-87.651032603
,HJ576244,08/21/2003 12:30:00 AM,063XX S HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0726,,15,,08B,1163452,1862576,,41.778542117,-87.676323343
,HJ576488,08/21/2003 06:27:01 AM,050XX S STATE ST,0460,BATTERY,SIMPLE,STREET,false,false,0231,,3,,08B,1177131,1871463,,41.802631191,-87.625907363
,HJ576465,08/21/2003 05:45:00 AM,004XX W CHICAGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,false,false,1823,,27,,14,1173227,1905648,,41.89652481,-87.639211587
,HJ577581,08/21/2003 01:00:00 PM,049XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0931,,16,,07,1166503,1872209,,41.804911724,-87.664863565
,HJ577679,08/21/2003 03:00:00 PM,053XX N BROADWAY,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,2023,,48,,06,1167347,1935654,,41.978991238,-87.659941972
,HJ576350,08/21/2003 12:10:00 AM,058XX W WELLINGTON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2514,,30,,06,1136765,1919344,,41.934839638,-87.772802599
,HJ576664,08/21/2003 09:05:00 AM,015XX E 67TH ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,true,false,0321,,5,,26,1187565,1860868,,41.773315666,-87.587978676
,HJ576887,08/21/2003 10:00:00 AM,074XX S MARYLAND AVE,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,0323,,6,,08A,1183187,1855966,,41.759967099,-87.60417953
,HJ577006,08/21/2003 11:42:00 AM,061XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0313,,20,,08B,1179973,1864456,,41.78333868,-87.615699111
,HJ576201,08/21/2003 12:18:57 AM,016XX W 58TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0715,,15,,08B,1166480,1866250,,41.788560011,-87.665117806
,HJ576363,08/21/2003 02:47:33 AM,070XX S NORMAL BLVD,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0732,,6,,04B,1174164,1858302,,41.766582474,-87.637179382
,HJ578038,08/21/2003 12:00:00 PM,015XX W CHICAGO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1324,,27,,06,1165906,1905432,,41.896091474,-87.666106352
,HJ578124,08/21/2003 12:30:00 PM,001XX N STATE ST,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,false,false,0122,,42,,06,1176352,1900927,,41.883500187,-87.627876698
