ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Updated On,Latitude,Longitude
,HN692279,11/06/2002 09:00:00 AM,067XX S CLYDE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0331,,5,,06,,,,,
,HH763431,11/06/2002 07:45:00 PM,004XX W OAK ST,0460,BATTERY,SIMPLE,STREET,false,false,1823,,27,,08B,,,,,
,HH761869,11/06/2002 01:00:00 AM,021XX W WARREN BLVD,0810,THEFT,OVER $500,STREET,false,false,1332,,2,,06,1162199,1900335,,41.882183186,-87.679863954
,HH761931,11/06/2002 01:30:00 AM,030XX N KNOX AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2521,,31,,05,1144835,1919845,,41.936065813,-87.743132139
,HH761876,11/06/2002 04:00:00 AM,071XX S HONORE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0735,,17,,05,1165254,1857345,,41.764149583,-87.669865016
,HH762038,11/06/2002 02:00:00 AM,010XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1323,,27,,14,1166943,1907099,,41.900643643,-87.662249785
,HH761906,11/06/2002 05:15:00 AM,121XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0523,,34,,08B,1174172,1824367,,41.67345991,-87.638154451
,HH762080,11/06/2002 12:00:00 AM,021XX N LINCOLN PARK WEST,0820,THEFT,$500 AND UNDER,STREET,false,false,1814,,43,,06,1173912,1914607,,41.921093508,-87.636428384
,HH761776,11/06/2002 12:30:00 AM,114XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0531,,9,,08B,1179954,1829217,,41.686639068,-87.616844322
,HH762085,11/06/2002 12:00:00 AM,005XX W 37TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0925,,11,,14,1173120,1880375,,41.827176222,-87.640353809
,HH762125,11/06/2002 12:00:00 AM,009XX N DRAKE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,true,1121,,27,,06,1152540,1906052,,41.898067557,-87.715180726
,HH761772,11/06/2002 12:18:48 AM,028XX E 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0422,,7,,14,1196656,1852476,,41.750066402,-87.55493226
,HH761866,11/06/2002 03:25:00 AM,085XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,false,false,0423,,7,,08B,1195310,1848961,,41.74045427,-87.559980252
,HH761826,11/06/2002 01:42:00 AM,049XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,0911,,14,,14,1158534,1871980,,41.804449678,-87.694096813
,HH762374,11/06/2002 10:30:00 AM,017XX W LAWRENCE AVE,0810,THEFT,OVER $500,STREET,false,false,2032,,47,,06,1163613,1931921,,41.96882747,-87.673779627
,HH761793,11/06/2002 12:45:00 AM,088XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0632,,8,,08B,1183104,1846696,,41.734531157,-87.604771389
,HH762408,11/06/2002 11:00:00 AM,034XX W 48TH PL,0810,THEFT,OVER $500,STREET,false,false,0821,,14,,06,1154357,1872379,,41.805628817,-87.709405648
,HH762416,11/06/2002 02:00:00 AM,025XX W JACKSON BLVD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",OTHER,false,false,1125,,2,,07,1159609,1898614,,41.877514327,-87.689421855
,HH762378,11/06/2002 09:00:00 AM,041XX S KEDZIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,0821,,14,,26,1155689,1877176,,41.818765783,-87.704391587
,HH762643,11/06/2002 09:30:00 AM,048XX W QUINCY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1533,,28,,07,1144193,1898564,,41.877680546,-87.74602706
,HH762656,11/06/2002 11:00:00 AM,001XX N LA SALLE ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,0113,,42,,06,1175106,1901598,,41.885369466,-87.63243193
